stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,343.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0
  5-6,25.68,113.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,6.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,23.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.16,22.94,0,0,46.04,0,0,0,0,0,0,0,0,0,0,0
 14-21,2.78,0,0,0,59.43,0,0,0,0,0,0,3.63,0,0,0,0.81,0,0,0,0,4.68,0,0,1.65,17.21,1134.54,0,0,0,0,0,0.85,0.96,1.92,43.83,0,0,33.77,0,0
 24-34,0,0,0,4.41,1006.97,7.59,0,4.72,0,18.7,0,11.28,1.88,60.57,0,2.17,0,0.62,0.65,0,61.21,10.24,10.62,15.17,167.12,741.9,6.06,1.47,0,17.84,4.51,0,0.95,0,152.34,0,0,408.32,0,2.22
 36-46,0,0,0.73,0,2358.2,17.54,0,18.42,2.83,115.4,0,25.45,0,106.31,0,1.59,0,0.67,0,4.51,178.61,23.36,52.11,6.53,336.52,767.32,2.78,0.7,0,73.37,1.78,0,0.58,0,237.24,0,3.38,652.63,0,14.75
 48-58,0,0,0,0,1754.51,4.44,0,74.54,0.86,196.59,0,136.95,0,85.82,0.8,1.38,1.14,0,0,33.03,196.51,7.47,146.55,20.27,456.42,216.75,2.3,6.61,0,58.98,9.24,0,0,0,365.53,0,12.19,568.7,0,38.42
 60-70,0,0,0,0,1524.1,0,0,125.39,0,139.87,2.6,498.69,0,61.15,3.99,0,1.14,2.2,0,19.46,697.75,13.27,264.69,14.55,351.65,298.31,8.47,20.41,0,40.43,1.97,0.84,0,0,385.76,0.97,118.21,528.41,44.93,130.27
 72-82,0,0,0,0,996.63,8.63,0,253.26,0,76.17,2.06,714.85,1.97,119.92,7.12,2.63,0,0,0,29.58,1011.08,13.08,855.94,32.46,306.32,42.78,3.41,52.75,0,121.67,3.96,7.67,0,0,306,0,149.95,1300.12,127.73,99.04
 84-94,0,0,0,0,2007.52,10.15,1.17,222.07,0.56,193.62,0.61,599.47,4.45,111.34,2.96,4.04,0.66,0.9,0,27.07,1091.93,17.19,787.21,24.04,210.31,54.67,1.59,70.99,0,69.79,3.79,0,0,0,267.45,3.84,192.92,1225.94,148.55,141.47
 96-106,0,0,1.41,0,1419.68,27.59,0,134.46,8.47,92.22,0,477.94,7.16,121.95,7.24,2.83,8.87,0,4.55,14.01,908,16.04,612.42,26.99,266.2,61.51,8.22,83.07,0,61.69,21.32,4.56,0,0,294.4,3.85,182.46,1514.92,200.21,108.16
108-118,1.12,0,0,0,1204.97,2.25,0,121.41,0.46,141.96,3.46,503.51,10.93,87.77,0.56,2.82,18.06,0,8.04,54.3,791.7,15.47,868.6,10.35,301.29,124.66,3.38,118.38,0,93.94,3.85,5.11,0,0,129.02,2.47,148.4,1159.29,142.9,177.63
120,0,0,0,0,795.54,1.69,0,106.52,0,127.14,0,363.34,2.87,70.77,3.55,7.61,7.71,0,0,7.93,829.64,19.11,785.45,11.74,393.61,39.17,12.13,143.83,0,174.64,9.3,0,0,0,148.9,7.13,156.21,1415.03,164.04,75.42
