stage,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,mesenchyme,mucous,neural,olfactory,periderm,pronephros,taste
  5-6,0,0,0,0,0,0,0,0,0,0,0,53.25,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.37,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.66,0,0,0,0
 14-21,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.99,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,2.79,0,0,0,0.63,0,4.74,0
 48-58,0,0,0,0,0,0,10.68,0,0,0.37,1.92,2.85,0,0
 60-70,1.25,0,0,1.16,0,0,11.84,0,0.85,0,3.86,0,0,0
 72-82,2.47,0,2.25,0,0,0,35.07,1.76,0.77,0,3.71,1.62,0,0
 84-94,2.26,0,0,0,0,0,38.62,1.37,0,0,25.77,6.3,0,0
 96-106,14.6,3.93,0.98,0,0.76,0,99.29,0,0.78,4.04,33.9,13.48,0,0
108-118,13.74,0,3.17,0,0.45,0.51,74.83,4.2,0.95,2.95,22.87,16.6,0,1.29
120,1.07,0,0,0,0,2.32,44.66,0,0,0,29.25,4.11,0,0
