stage,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0.96,0,4.22,0,0,0.94,0,0,0.92,1.16,1.16,0.88,1.36,20.03,0,0,0.9,0,4.79,1.01,2.07,10.86,0,6.09,0,0.98
 24-34,0.83,0,3.1,0,0,0,0,0,0,0,0.59,1.88,0.65,62.45,0,0,0,1.55,0,0,1.04,10.37,0,8.24,0,0
 36-46,8.1,0,3.38,0,0,1.42,0.67,0,0,0,0,0.74,1.7,169.07,0,0,0,0,0,0,0.74,19.23,0,8.81,0,2.41
 48-58,0,0,28.01,0,0,2.6,1.54,0,0,0,0,2.81,1.3,263.18,0.47,0,0,0,0,0,0,35.81,0,0.98,0,0
 60-70,0,0,94.4,0,0,1.85,0,0,0,0,0,1.59,2.26,323.04,0,0,0,0.57,0,0,0,32.28,0,0,0,0
 72-82,0.51,0,119.35,0,2.05,4.87,0.61,0,0,0,0,4.12,0.53,281.7,0,1.32,0,0,0,0,0,18,0,5.48,0.6,0
 84-94,0,0.6,64.59,10.84,0,2.47,2.31,0,0,0,0,4.78,0,250.24,0,0,0,0,0,0,0,13.14,0.9,2.84,0,0
 96-106,2.26,0,62.57,0,0,5.3,4.64,0,0,0,0.68,1.66,0.95,181.69,0,0,0,0,0,0,0,0,0,2.77,0,0.8
108-118,0,0,52.67,0,0,1.41,1.9,1.64,0,0,0,3.5,0,200.41,0,0,0,0.85,0,0,0,0,0,0,0,0
120,7.38,0,45.59,0,0,1.45,1.52,0,0,0,0,0,0,311.41,0,0,0,0,0,0,0,1.95,0,0,3.54,0
