stage,blastomeres,erythrocytes,eye,glial,gut,hatching_gland,iridophores,mesenchyme,muscle,neural,notochord,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,50.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0
 14-21,0,1.18,0,0,0,0,0,0,0,1.88,0,1.18,0,0.85,1.21
 24-34,0,0,0,0,0,0,0,0,0,12.68,0.59,0,0,0,0.81
 36-46,0,0,0,0,0,0,0,0,0,10.17,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.78,0,21.24,0,0,0,0,0.8
 60-70,0,0,0.67,0,0,0,0,0.8,0,1.31,0,0,0,0,0
 72-82,0,0,0,1.18,0,0,0,0,0,3.56,0,0,0,0,0
 84-94,0,0,0,0.96,0.57,0,0.55,0,0.64,0,0,0,0,0,0
 96-106,0,1.43,0,2.91,0,0,0,0,0,5.74,0,0,0,0,0
108-118,0,0.7,0.82,3.15,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,8.74,0,0,1.02,0,0
