stage,endoderm,epidermis,erythrocytes,eye,immune,mesenchyme,neural,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  7-9,4.49,0,0,0,0,0,10.02,0,0,0,0,0
 10-12,0,0,0,0,0,0,26.58,0,0,0,0,0
 14-21,0,0,0.86,0,0,0,0,0,0.99,0.82,0,0
 36-46,0,0,0,1.16,0,0,2.66,0,0,0,1.88,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.9,0.4
 60-70,0,0,0,4.29,3.98,1.43,3.21,0,0,0,0,0
 72-82,0,0,0,0,1.4,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.73,0,0,0.77,0,0,0,0
 96-106,0,0,0,0,2.8,2.04,5.27,2.2,0,0,0,0
108-118,0,0,0,0,3.71,0,0,0,0,0,0,0
120,0,1.28,0,0,3.78,0,0,0,0,0,0,0
