stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,68.41,658.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0,0,0,0,0,0,0
  5-6,27.04,503.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,17.28,17.6,0,18.31,0,0,0,36.51,0,0,0,0,19.91,0,0,0,0,0,0,0,379.29,3.62,0,0,54.95,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.74,0,56.13,0,0,0,26.53,0,0,0,0,0,0,0,0,0,0,0,0,199.09,0,0,0,60.18,3.1,12.01,0,8.85,0,0,0,0,0,0
 14-21,0,0,0,5.06,12.62,1.85,0,2.85,1.16,0,0,2.64,0,0,0,0,0,9.4,0,5.72,41.37,0.94,0,0.84,0,0,2.3,3.32,0,4.73,18.23,0,0,0,0
 24-34,0,0,0.84,0.67,7.51,0,0,0,0,0,0.63,0,0,0,0,2.43,0,7.27,0,2.95,117.41,0,6.43,7.3,0,0,0,0,0,0,32.49,0,0,0,0
 36-46,0,0,0,0.56,15.67,0,0,7.76,2.95,0,0,0,0,0.56,0,0,0,5.78,0.88,0,344.12,0,2.56,1.46,0,0.88,0,0,0,0,28.5,0,0,0,0
 48-58,0,0,0,0,18.11,0,0,22.19,2.36,0,10.31,0,0,0.83,0,2.46,0,17.84,1.47,2.76,569.37,0,5.53,7.9,0,0,0,0,0,0,43.63,0,0,2.01,0
 60-70,0,0,0,0,5.71,0,0,60.08,0,9.03,8.51,2.73,0,1.1,0,0.63,0,11.09,1.97,9.79,734.26,0,5.71,4.16,0,5.42,0,0,0,0,58.92,0,0.7,0,0
 72-82,0,0,1.96,0,4.03,3.6,0,71.08,0,0,2.85,0.53,0,0.58,0,1.46,6.19,26.99,0.72,2.35,948.42,0,5.97,9.12,0,0,0,0,0,0,73.09,0,4.64,1.31,3.59
 84-94,0,0,2.95,0,10.1,0,0,84.44,0,0,17.4,3.46,0,1.25,1.28,2.37,0,13.77,3,3.59,601.51,0,4.11,4.65,0,1.56,0,0,0,0,44.43,0,0,2.29,4.3
 96-106,0,0,1.08,0,13.15,4.39,0,62.26,0,0,1.72,7.28,0,6.16,1.23,3,2.9,12.18,5.89,0,653.15,0,12.12,6.68,0,0,0,0,0,0,13.83,0,1.43,3.78,1.9
108-118,0,0,0.57,0,18.54,0.6,3.08,50.67,3.57,0,9.96,4.98,0,3.7,1.67,4.44,0,30.86,0,0,653.41,0.6,10.5,12.43,0,0.92,0,0,0,0,11.14,1.29,0,0,0.65
120,0,0,0,0,27.21,0,0,61.21,4.13,0,5.5,5.59,0,8.77,0,6.26,1.84,45.12,1.83,0,1047.74,0,0,0,0,0,0,0,0,0,42.24,0,0,8.27,8.42
