stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.14,763.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.89,0,0,0,0,0,0,0,0,0,0
  5-6,6.12,299.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.05,0,0,0,0,0,8.83,0,0,0,0,0,0,0,0,0,0
  7-9,6.78,8.78,0,3.22,0,0,0,55.68,0,0,0,0,0,18.28,0,0,0,0,0,0,0,0,0,0,0,126.85,0,0,0,50.75,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,47.56,0,39.89,0,0,0,33.32,0,0,0,0,0,19.01,0,0,0,0,0,0,0,0,0,0,0,800.62,8.78,0,0,187.25,0,0,5.95,0,24.27,3.87,5.88,0,0,0,0,0
 14-21,0,0,1.11,0,38.88,50.53,0,15.3,0,0,0,12.59,0,161.56,0,0,1.15,0,2.5,0,0,16.35,0,0,6.56,571.33,5.18,0,4.64,4.36,0,0,0.86,34.45,0,6.74,346.81,0,0,25.78,0,0
 24-34,0,0,0,0,13.65,10.49,0,52.44,0,0,1.81,27.57,0,94.18,7.61,0,0,3.58,12.62,0,0,62.05,1.24,1.66,17.68,1854.4,2.18,3.73,6.5,0,0,14.4,0,0,0.65,0.71,919.03,0,0,175.25,0,2.42
 36-46,0,0,0,0,7.04,0,0,206.62,0,0,8.23,59.93,1.49,19.51,0,0,0.6,5.36,10.03,0,0,92.69,0,2.48,17.61,4450.52,1.93,1.67,8.73,0,0,4.68,1.11,0,2.56,0,1698.58,0,1.23,138.11,0.78,13.74
 48-58,0,0,0,0,38.04,0,0,765.26,0,2.85,4.54,105.48,0,1.44,1.88,0,5.43,17.58,9.62,3.99,0,121.27,0.65,1.89,24.53,5965.33,0.93,1.69,17.66,0,0,1.65,0,0,0.68,0,1414.61,0,2.67,107.24,0,32
 60-70,0.81,0,0,0,23.06,1.29,0,3629.16,0.7,0.59,11.31,177.17,0,0,0.84,0,0,39.36,11.39,0,0,199.06,0,0.88,27.84,9488.19,3.48,0,23.91,0,6.66,10.57,0,0,0.93,0,1288.44,0,4.39,50.5,3.2,31.69
 72-82,0,0,0.5,1.31,32.2,15.79,0,5596.85,1.04,1.06,10.56,226.48,2.09,0.91,0,5.38,0.83,21.01,13.02,4.19,1.69,245.99,0,20.39,21.13,7060.43,0,2.52,30.37,0,11.76,1.21,0,0,3.73,0,830.08,2.16,5.56,104.16,13.73,68.02
 84-94,0,0,0,0,41.72,17.56,0,3464.43,0.95,6.08,17.96,237.19,3.56,0,1.06,1.9,1.54,13.27,19.97,2.58,3.45,193.1,0.58,12.88,2.73,5237.43,1.25,2.4,64.06,0,29.51,12.6,0,0,0.8,0,547.83,0,15.74,126.68,15.16,33.19
 96-106,0,0,0,0,31.82,13.47,2.87,4051.91,1.19,8.48,9.85,252.16,3.09,0,7.63,10.66,1.61,7.9,29.23,8.31,0,166.31,0.6,8.86,10.65,4064.67,1.84,5.37,56.63,0,31.81,17.06,0,0,0.69,0,252.97,1.13,19.18,122.4,8.79,32.14
108-118,0,0,0,0,56.28,6.68,3.92,3343.65,1.74,0.65,11.2,224.57,2.52,0,3,1.64,1.96,9.17,23.62,0.7,0,166.54,0,19.86,10.44,5511.88,0,2.52,45.91,0,23.79,12.16,0,0,0.87,0,241.93,5.9,15.74,76.64,1.44,20.66
120,0,0,0,0,58.56,32.58,0,2443.24,4.28,0,6.02,338.73,1.38,0,7.76,4.86,0,26.7,12.47,3.42,0,156.28,0,26.31,11.07,6567.09,0,5.32,25.76,0,0,6.85,0,0,3.15,0,254.06,0,21.51,120.09,4.8,4.96
