stage,epidermis,gut,liver,mural_cell,neural,periderm,vascular_smooth_muscle
 60-70,0,0,0,0,3.86,0,0
 72-82,1.2,0,0,0,0,0,0
 84-94,0,1.16,0,0,0,0.8,0
 96-106,0,6.77,5.97,3.57,1.39,1.22,0
108-118,0.94,5.69,0,0,0,0,0
120,19.06,0,0,0,0,0,2.68
