stage,blastomeres,endoderm,eye,glial,gut,liver,mesenchyme,muscle,neural,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,35.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.16,0,0,0,0,0,0,0,7.43,0,0,0,0,0,0,0,0
  7-9,0,3.79,0,0,0,0,0,0,23.13,20.21,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73,0,0,0
 24-34,0,0,0,0,0,0,0,0,7.84,0,0,0,0.83,2.86,1.36,0,0
 36-46,0,0,1.23,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0
 48-58,0,0,1.8,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,2.18,0,0
 72-82,0,0,0,0,0.9,5.9,0,1.32,4.06,0,1.67,1,0,0,0,0,2.07
 84-94,0,0,0,1.57,4.57,2.95,0,0,8.89,0,0,1.93,0,0,0,4.99,0
 96-106,0,0,0.56,0,15.21,1.05,1.66,0,9.12,0,0,0,0,0,0,0,0
108-118,0,0,5.54,0.66,25.44,19.08,0.71,0,5.96,0,0,0,0,0,0,0,0
120,0,0,0,0,74.03,0,0,0,2.94,0,0,0,0,0,0,0,0
