stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,spinal_cord,taste,vasculature,xanthophores
  3-4,30.67,176.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.14,0,0,0,0
  5-6,0,133.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.17,0,0,0,0
  7-9,3.58,0,11.74,0,0,0,0,0,0,0,0,12.07,0,0,0,0,0,0,9.1,5.47,0,7.1,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,16.75,0,0,0,0,0,0,69,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,16.96,1.18,0,0,0
 24-34,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0,21.91,0,2.14,20.18,1.72,0,0,2.64
 36-46,0,0,0,2.57,0,0,6.1,8.54,0,0,0,0,0,0,0,0,0,0,40.05,0,3.74,22.31,2.84,0,0,0
 48-58,0,0,0,0,0.41,0,8.07,0,0,0.37,0,0,0,0,0,0.4,0,0,78.06,0,3.05,13.94,7.05,0,0,0
 60-70,0,0,0,2.35,0,0,11.28,2.17,0,0,0,0,1.29,0,0,0.82,0,0,81.96,0,0,28.18,6.66,0,0,0
 72-82,0,0,0,0,0,0,2.52,0,0,1.74,0.63,0,0.63,0,0,1.63,0,0,96.76,0,0,1.47,12.89,0,0,0
 84-94,0,0,0,2.84,1.41,0,2.8,0,0,6.71,0,0,0,0,0,3.5,0,1.55,28.77,0,0,22.3,11.36,0,0,0
 96-106,0,0,0,1.59,0,0,0,0,3.15,3.24,1.19,0,0,0,0.82,0,0,0,28.56,0,0,11.66,0,0.81,2.1,0
108-118,0,0,0,0,0,2.27,0,0,0,1.16,0,0,0,1.15,0,0.62,0.53,0,76.64,0,0.7,10.75,0,0,0,0
120,0,0,0,2.38,0,0,0,0,0,1.62,3.02,0,0,0,0,0,0,8.57,81.16,0,0,2.74,18.71,0,0,0
