stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.44,552.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.54,0,0,0,0,0,0,0,0,0,0
  5-6,59.19,714.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.73,27.67,0,0,14.67,0,17.91,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.48,12.04,0,0,0,0,0,0,0,0,5.09,0,0,0,0,0,0,0,0,0,0,66.36,3.29,0,0,15.17,0,0,22.27,0,0,0,0,0,0,0,0,0
 10-12,0,0,45.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,27.37,12.35,0,0,0,0,3.3,3.78,0,4.48,0,0,0,0,0,0,0
 14-21,0,0,1.1,1.71,2.64,0,0,0,0,0,0,3.13,0,0,0,0,0,30.17,0,2.19,0,14.16,7.35,16.31,0,1.38,0,0,2.28,0,1.8,0,47.82,84.37,0,0,1.55,0,0
 24-34,0,0,0,2.23,0.81,3.93,70.13,0.63,0,0,0,0,7.94,0,0.72,0,0,4.37,9.81,5.3,0,28.55,58.96,15.61,0,4.29,0,0,5.08,0,1.19,0,71.58,65.46,13.86,0,1.69,0,0.96
 36-46,0,0,0,0,0,7.99,114.08,0,0,0,0,0,0.88,0,1.02,0,0,0,6.85,1.76,0,10.96,47.43,19.65,0,9.07,0,0,7.33,0,0,0,52.95,2.51,5.67,0,5.91,0,2.84
 48-58,0,0,0,2.7,0,23.41,98.61,4.46,0,3.97,0,0,5.32,0,0,0,0.38,0,4.15,9.82,0,16.84,96.23,5.48,0,11.81,0,0.73,2.52,0,0,0,20.38,0,9.03,0,0,0,2.17
 60-70,0,0,0,5.76,0,20.58,96.24,0,0,2.09,0.82,0,0.61,0,0.92,9.79,0,0,0,30.16,0,29.9,54.81,2.92,0,1.73,0.81,0,0.94,0,0,0,23.37,0,4.55,0.65,0,0,4.29
 72-82,0,0,0,6.31,0,23.32,55.94,0,2.58,2.51,0,0,0,0,0,13.47,1.28,0.78,0,99.94,1.23,40.12,49.14,0,0,7.29,0,0,0.84,0,0,0,13.8,0,4.14,0,0,0,6.3
 84-94,0,0,0,0,0.64,26.39,69.34,0,0,5.66,0,0,0,0,0.76,5.08,0,0,0,68.72,0,12.86,20.31,0.62,0,6.44,0,0,0,0,0,0,11.26,0,1.51,0,3.44,0,0
 96-106,0,0,0,1.34,1.41,59.48,85.98,0,0,11.58,0,0,3.5,0.64,0,0,2.75,0.76,0,71.49,0,15.5,41.48,3.82,0.81,9.97,0,0,3.07,0,0,0,6.7,0,0,1.48,0,0.87,0
108-118,0,0,0,1.62,0,42.89,82.07,0,0,8.29,0.49,0,2.18,0,0.86,1.4,2.43,0,0,42.76,1.13,17.88,17.53,0,0.57,5.98,0,2.06,0.43,0,0,0,15.28,0,0,0,2.89,2.24,0
120,0,0,0,3.25,4.05,17.29,70.17,0,0,2.67,0,0,0,6.72,4.71,0,0,0,0,98.56,0,46,78,8.06,0,6.31,0,0,14.31,0,1.12,0,8.87,0,17.69,0,0,10.35,0
