stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,123.35,2942.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.91,0,0,0,0,0,0,0,0,0
  5-6,308.2,2924.18,0,0,0,0,0,0,0,0,0,0,0,26.49,0,0,0,0,0,0,0,0,0,0,0,16.95,0,0,0,9.32,0,417.18,0,0,0,0,0,0,0,0,0
  7-9,36.31,14.9,0,13.4,0,0,0,22.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663.81,30.93,0,0,200.82,0,217.12,0,0,0,0,0,0,0,0,0
 10-12,0,3.69,0,67.99,0,0,0,13.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2105.17,0,0,0,86.26,0,167.07,0,7.31,0,0,0,0,0,0,0
 14-21,0,0,0,19.13,792.94,0.98,0,0,0,0.91,0,1.86,21.27,0,1.45,0,5.69,0,0,47.28,0,1.95,2.85,0,4.34,47.01,44.87,0,0,0,0,1972.25,2.95,25.52,0,0.8,0.85,0,0,0,0
 24-34,0.88,0,0,8.7,584.69,0.91,0,6.54,0,69.92,0,10.06,6.1,6.16,6.39,1.7,5.41,0,1.07,53.94,0.62,26.23,21.56,0,17.5,153.01,5.54,1.57,0,0,0,3578.56,0,36.34,0,1.39,24.39,0,7.65,0,0
 36-46,0,0,0,0.76,447.53,7.25,0,4.07,3.02,212.97,1.67,1.5,1.33,0,9.16,0,6.1,0,0,10.28,0,47.61,27.87,0,12.26,83.54,9.16,1.26,0.61,0,0,3969.97,0,25.19,0,0,9.72,0,3.85,0,8.17
 48-58,0,0,0,0.4,279.16,0,0,30.93,0,121.7,1.97,6.33,5.8,1.19,2.37,0,2.32,0,0,3.34,0.56,21.96,19.38,0,5.48,78.94,3.57,0.73,0.74,0,0,2455.14,0,16.59,0,0,18.95,0,0.39,0,0
 60-70,0,0,0,0,320.18,0.6,0,45.4,0,108.17,4.29,8.33,28.48,0,0,0,6.32,0,0,11.51,0,40.24,10.66,0.78,1.22,56.17,1.07,1.33,1.38,0,0,1660.45,0,10.83,0,0,5.91,2.13,0.85,0,10.05
 72-82,0,0,7.08,0,331.38,4.07,0,87.19,0,92.28,6.15,8.13,171.32,0,0,0.52,4.91,2.65,0,54.7,0,48.71,5.86,1.3,0,91.52,1.23,3.59,0.53,0,0.8,686.32,0,17.74,3.93,0,6.14,0,4.27,0,0
 84-94,0,0,2.26,1.01,580.72,6.7,0,108.54,0,169.04,2.55,5.21,340,0,0,0,2.48,1.25,0,212.63,5.72,39.4,15.96,0,4.14,95.4,0.93,2.73,0,0,0,1569.11,0,36.21,0,0,2.9,0.81,7.43,2.57,3
 96-106,0,0,11.44,0,583.94,1.32,2.94,161.59,0.64,113.64,4.03,17.51,502.76,0,3.87,0.64,4.04,0,0,317.92,0,50.64,14.39,0,2.36,199.81,2.18,4.78,2.31,0,2.14,767.95,0,26.57,0,0,0.83,4.19,1.67,0,7.08
108-118,0,0,6.25,0,533.7,0,0.5,162.31,0.98,147.47,6.12,15.83,519.28,0,0,5.2,9.78,0.96,0.56,580.8,0.78,54.87,4.97,0,0.95,197.21,2.48,10.46,0,0,6.85,774.75,0,38.27,0,0,6.73,3.57,11.17,1.93,9.4
120,0,0,3.99,0,370.66,5.19,0,69.53,0,89.5,0,16.46,374.21,0,4.21,0,4.79,0,0,224.25,0,31.77,4.96,0,0,174.61,0,1.06,0,0,0,238.84,0,21.04,0,0,0,0,8.3,0,0
