stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,76.45,1339.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.71,0,0,0,0,0,0,0,0
  5-6,10.06,396.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.8,3.99,0,0,0,91.47,0,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0,181.47,0,0,0,37.13,0,0,0,0,0,0,0,0,0
 10-12,0,24.79,6.24,0,0,0,73.78,0,0,0,0,0,30.47,0,0,0,0,0,0,0,0,0,335.15,3.12,0,0,219.84,0,13.58,0,5.33,0,7.71,0,0,0
 14-21,0,0,0,2.57,10.28,0,13.62,0,0,0,0,0,0,4.35,0,0.81,0,0,0,0.81,0,5.54,11.94,7.32,0,0,1.52,0.92,0,12.37,0,1.23,69.46,3.52,0,0.94
 24-34,0,0,0,0.65,1.54,0,9.38,0,0,0.68,0,0,0,0,0,0,0,0,0,6.85,0,10.78,15.82,0.64,0,0,0,1.05,0,0,0,0,18.76,2.19,2.31,0
 36-46,0,0,0,0,0,0,4.89,2.88,0,0,0,0,0,0,0,0,0,0,0,3.58,0,6.9,15.46,0,0,0,0,2.02,0,0,0,0,1.38,3.23,0,0
 48-58,0,0,0,0,0,0,2.46,0.37,4.05,0,2.2,0,0,0,0,0,0,0,4.01,7.3,0,10.26,17.63,0,0,0,0,0,0,0,0,1.28,0,4.83,0,0
 60-70,0,0,0,0,0,0,13.04,5.03,0,0,0,0,0,0,0,0,0.85,0,1.41,4.5,0,2.76,11.36,0,0,0,0,0,0,0,0,0.62,0,1.42,0,0
 72-82,0,0,0,0.52,0,0,11.09,0,0.55,2.03,0.55,2.36,0,0,0,1.02,0,0,0,13.13,0.72,1.79,58.79,0,0,6.14,0,0,0,0,0,0,0,0,4.38,0
 84-94,0,0,0,0,17.88,0.55,12.33,0,0,0,0,0,0,0,0,0.83,0.62,0,0,7.05,0,2.32,14.17,0,0,0,0,2.05,0,0,0.81,0.75,0,0,1.63,0
 96-106,0,0,0,0,0,1.78,3.84,0.71,0,0,1,0,0,0,0,0,0,0.77,0,2.99,0,0,11.74,0,0,0,0,9.45,0,0,0,0,0,0,2.63,0
108-118,0,0,0,0,5.94,20.87,18.3,0.5,1.07,0,2.99,0,0,0,0,2.54,0,0,3.39,5.84,4.41,1.22,16.87,0,0.84,0,0,0.47,0,0,0.47,0,0,0,4.03,0
120,0,0,0,0,1.18,3.89,14.46,2.31,0,0,2.83,0,0,0,9.25,3.9,0,0,3.87,3.69,0,0,24.02,0,0,0,0,1.01,0,0,0,0,0,0,0,0
