stage,blastomeres,endocrine_pancreas,epidermis,eye,glial,mesenchyme,neural,notochord,otic,periderm,somites,spinal_cord,vasculature
  3-4,63.53,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,48.24,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,24.76,8.45,0,0,0,0,0
 10-12,0,0,0,0,0,0,23.67,0,0,0,0,0,0
 14-21,0,0,0.81,0,0,0,0,0,0,0,1.77,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.18,0,0.65,0
 36-46,0,0,0,0,0,0,6.54,0,0,1,0,0,0
 48-58,0,0,0,0,0,0,0.43,0,0,0,0,0,0.5
 60-70,0,0,0,0.7,0,0,0,0,3.1,4.69,0,0,0
 72-82,0,0.76,0,0,0,1.08,3.01,0,0,0.94,0,0,0
 84-94,0,0,1.1,0,0,0,0,0,0,2.21,0,0,0
 96-106,0,0,3.72,0,0.57,0,5.9,0,0,2.02,0,0,0
108-118,0,0,1.38,0,0,0,0,0,0,3.77,0,0,0
