stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,42.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.64,0,0,4.32,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,11.46,0,0,0,0,0,0,0,0,0,0,30.13,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.9,2.04,0.84,0,0,0,0,0,0,0,0,2.5,0,1.45,9.79,2.02,0,0,0,0,3.27,3.93,0,2.17,0,0
 24-34,0,0,0,0,4.01,0,0,0,0,0,0,0,4.66,0,4.48,4.29,0,0,0,0,0,0,1.52,0,0,0,0
 36-46,0,0,0,0,0,0,0.92,0,0,0,0,0,14.69,0,7.33,19.86,0,0,0,0,0,0,0,0.85,0,0,0
 48-58,0,0,0,0,0,1.37,0,0,0.44,0,0,0,18.48,0,2.39,7.13,0,0.44,0,0,0,0,0.76,0,0,0,0
 60-70,0,0,0,0,0.68,0,2.43,0,0.76,0,0,0,57.68,0.66,3.16,1.85,0,0,0,0,0,0,0,0,0.57,0,10.83
 72-82,0,0,3.26,3.44,3.77,0.61,5.83,0.6,0,0,0,0,91.76,1.08,5.56,3.97,0,0,0,0,1.23,0,0,1.46,2.26,7.27,0
 84-94,0,0,0.81,4.26,3.44,1.51,4.38,0,0,1.56,0.63,0,84.24,0,2.85,0.57,0,0,0,0,0,0,9.26,0,1.89,1.23,0
 96-106,0,0,0.58,0,9.27,0,5.25,1.47,0,0,0,0,83.82,0,4.41,17.3,0,0,0,1.94,0,0,0,2.47,1.95,3.69,0
108-118,0,0,5.36,0,1.97,1.54,16.13,0,1.02,0.95,0,0,125.29,3.36,3.2,11.1,0,0,0,2.63,0,0,0,1.53,6.8,1.27,0
120,0,0,12.69,7.42,18.87,0,0,0,0,0,0,1.69,58.64,0,6.96,13.23,0,0,0,0,0,0,0,7.67,8.38,0,0
