stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,48.71,1013.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.64,0,0,0,0,0,0,0,0,0,0
  5-6,19.7,460.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.28,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.32,4.73,0,0,12.33,0,0,7.8,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.18,0,0,0,18.09,0,0,0,0,0,4.35,0,0,0,0,0,0
 14-21,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.58,0,0,0,0,0,0,0,0,0,4.5,1.07,0,0,0,0,0
 24-34,0,0,0,9.31,0,1.08,0,0,0,0,0,1.35,0,0,0,0,0,77.71,0,0.61,715.94,0,1.64,0,0,0,0,0,0,1.89,0.61,0,0,0,0.91,0,0
 36-46,0,0,0,1.69,0,3,0,0,0,0,0,0,0,0,0,0,0,99.66,0,0,1316.34,0,0,0,0,0,0,0,0,0,0,2.16,0,0,9.13,0,0
 48-58,0,0,0,11.89,0,19.87,0,0,0.76,2.09,0,0,0,0,0,0,2.79,203.32,0.56,2.26,973.15,3.14,0,0.42,0,0,8.79,0,0,0,0,10.48,0,0,27.65,0,0
 60-70,0,0,0,11.03,0,38.52,0,0,0,0.88,1.82,0,0,0,0,0,0,267.89,0.65,4.7,937.26,0,0,0,0,0,0,0,11.06,0,0,0,0,0,38.3,0,0
 72-82,0,0,0,27.16,4.71,58.52,0.83,0,0.9,0.9,1.31,0,0,0,0,0,0,413.99,0,0.69,1146.33,0,0,0,0,0,1.86,0,0,0,0,0,1.58,0.93,111.6,0.67,3.72
 84-94,0,0,0,77.59,0,38.32,0,0.97,0,4.31,0,0,0,0.65,0,0,0,326.91,6.47,0.72,694.14,0,0,0.85,0,0,2.06,0,2.8,0.73,0,0,0,2.14,153.54,0,0
 96-106,1.12,0,0,50.16,0.73,53.8,0.92,1.18,0.68,46.12,1.26,0,0,0.63,0,8.22,0,383.97,5.35,3.3,424.98,0,1.72,0,0,0,1.4,0,0,0.84,0,8.52,0.81,0,270.9,0,1.22
108-118,2.34,0,0,87.13,0,11.97,1.13,1.65,0,8.4,1.2,0.8,3.32,4.36,0,0,0,422.8,0,1.73,1062.32,0,0,0,0,5.55,4.23,0,1.17,0,0,0,0,2.26,217.02,0,0
120,0,0,0,79.25,2.77,1.61,17.62,2.96,0,0,1.08,0,21.99,0,1.34,0,0,357.89,0,12.01,1478.36,0,0,0,0,0,0,0,0,0,0,14.16,0,0,256.44,0,0
