stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,42.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.36,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.36,0,0,0,0,0,0,0,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,0,17.85,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0,6.85,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.09,0,0,1.63,0,0,0,2.82,0,0,0,0,0,0,0,0,0,0,30.17,0.95,0,1.07,0,0,1.13,0,1.1,5.09,0,0,0,0
 24-34,0,0,1.36,0,0,3.15,0,0,1.24,0,0,0,0,0,0,0,0,1.29,0,0,48.77,0,0,0,0,2.79,0,0,1.78,13.93,0,1.05,0,0
 36-46,0,0,0,0.6,0,14.05,0.79,0,0,3.7,0,0,0,0,0.74,0,7.56,10.03,0,0.68,67.53,0,1.86,0.58,0,4.89,0,0,0,7.02,0,0,0,0.67
 48-58,0,0,0.5,0,0,38.04,0,0,0.42,14.59,0.51,0,0,0,0,0.43,0,1.55,0,0,89.26,0,0.41,0.66,0,2.64,0,0,0,11.59,0,0.43,0,0
 60-70,0,0,1.48,0,0,45.41,0,0.97,0,1.2,0,0,0,4.25,0,0,0,5.98,0,0,76.89,0,0,0,0,6.56,0,0,0,1.32,0.61,1.75,0,0
 72-82,0,0,0,0,0,31.16,0,0,0,3.52,0,0,2.03,0,0,0,0,16.66,0,0.53,53.48,0,0,0,0,6.49,0,0,0,0,0.51,0,0,0
 84-94,0,0,0,0,0,27.46,0.64,0,0,2.01,0,0,0,0,1.05,0.65,0.58,13.71,0,0.56,11.03,0,4.36,0,0,0,0,0,0,0.83,0,0,2.35,0
 96-106,0,0,1.37,3.65,0,5.92,0,0,4.77,0,0,0,0.94,0,0,0,0,0,0,0,36.43,0,0,0,0,6.85,0,0,0,0,0,0,0,0
108-118,0,0,1.63,1.36,0,19.54,0,0,0,0,0,0,1.07,0,0,0,0.65,2.22,0,2.22,34.53,0,0,0,0,2.8,0,0,0,0,0,1.57,0,0
120,0,0,17.36,0,1.03,3.52,0,2.36,0,7.74,4.46,0,2.73,1.29,1.18,0,1.42,33.12,5.9,6.91,67.85,0,0,1.02,0,3.68,0,1.63,0,0,0,7.4,0,0
