stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,gut,immune,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,otic,periderm,xanthophores
  3-4,13.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.93,0,0,0,0,0,0,0,0.86,0,1.32,1.35,0,0,0
 36-46,0,0,0,0.78,0,0,0,0,0,0,0,0,2.98,0,0,0
 48-58,0,0,0,1.19,0,0,36.67,0,0,0,0,0,1.35,0,0.82,0
 60-70,0,0,0,2.41,1.24,0,19.57,0,0.59,0,0,0,5.08,0,8.47,0
 72-82,0,0,0,0,0,0.57,39.29,0,0,0,4.13,0,0,0,20.16,0
 84-94,0,0.93,0,0,0,1.85,41.94,0.57,0,0,0,0,0,0,23.94,0
 96-106,0,0,11.11,0.82,1.07,1.1,29.74,0,0,0,8.42,0,11.08,0.68,89.96,1.09
108-118,0,1.14,0,2.07,1.07,4.41,12.92,0.47,2.16,0,2.58,0,0.84,2.46,41.61,0
120,0,0,0,0,1,1.18,11.79,0,0,0,0,0,0,0,66.84,0
