stage,blastomeres,endoderm,eye,neural,notochord,paraxial_mesoderm
  3-4,15.32,0,0,0,0,0
  5-6,21.98,0,0,0,7.03,0
  7-9,0,3.38,5.09,17.85,0,3.5
 10-12,0,15.98,0,45.67,0,0
