stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,471.62,9516.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608.75,0,0,0,0,0,0,0
  5-6,277.36,3940.93,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,71.89,13.98,0,0,29.71,0,63.77,0,0,0,0,0,0,0
  7-9,23.76,25.53,6.44,0,70.21,0,0,0,32.56,0,0,0,0,0,0,0,0,574.61,26.58,0,0,142.09,0,0,34.77,0,0,0,0,0,0
 10-12,0,6.19,0,0,18.75,0,0,0,0,0,0,0,0,0,0,0,0,129.41,0,0,0,43.89,0,0,33.56,0,0,0,0,0,0
 14-21,0,0,0.9,6.49,2.23,0,0,1.96,0,0,0,0,0,0,1.06,0,0,21.77,0,0,0,2.91,0,0,2.19,0.99,0,0.91,10.83,0,0
 24-34,0,0,0,0,2.07,1.6,0,0,0,0.86,0,0,0,0,2.34,0,1.31,18.5,0,0.76,0.63,0,0,0,0,0,0,0.64,4.83,0,0.72
 36-46,0,0,0,0,1.49,0,0,0.87,0,0,0,0,0,0,1.27,0,0.6,13.46,0,0,0,0,0,0,0.81,0,0,0,2.1,0,0
 48-58,0,0,0,0,4.36,0,0,1.37,0,0,0,0,0,0,8.57,0.47,0.89,17.37,0.4,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,1.31,0.64,0,0,6.75,0,1.45,0,0,0,0,7.32,0,0,9.52,0,0,0,0,0,0,0,0,0,0,2.17,0,0
 72-82,0,0,0,0,3.77,0,0,0.79,0,0.51,0,0,0,0,10.56,0.55,0.69,14.37,0,0,0,0,0,0,0,0,0,0,0,0,0.8
 84-94,0,0,0,0,2.51,0,0.65,2.57,0,1.14,0.6,2.01,1.32,0.56,0,0,1.76,9.36,0,0,0,0,0.77,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.28,0.8,0,0,4.27,0,0.72,0,0,0,0,9.29,0.76,1.18,7.47,0,0,0.57,0,0,0,0,0,0,0,0,0,1.21
108-118,0,0,0,0,2.32,0,0,2.51,0,0,0,0,0,3.02,3.61,0,0,7.25,0,1.06,0,0,0,0,0,0,0.44,0,0,3.45,0
120,0,0,0,1.02,0,0,0,0,0,0,0,0,0,1.01,2.83,0,0,28.62,0,0,0,0,0,0,0,0,0,0,0,0,0
