stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77,0,11.87,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,5.59,0,0.85,1.17,0,0
 24-34,0,0,0,0,0,0,0,1.92,0,0,0,0,0,5.5,0,0,6.06,0,0,1.27,0,0
 36-46,0,0,2.93,0,0,0,0,0,0,0,0.61,0,0,19.93,0,0,15.22,2.02,0,0,0.68,0
 48-58,0,0,7.09,1.45,0,0.67,0.38,0,0,0,4.45,0,0,15.46,0,0,26.01,0,0,4.39,0,0
 60-70,0.57,0,0.83,0,0.72,1,0,0,0,0,0,0,0,2,0,0,23.79,0,0,1.18,0,0
 72-82,0,0,5.97,0,0,0.89,0,0,0,0,2.69,0,0,12.54,0,0,7.59,0,0,0,0.5,0
 84-94,3.56,0,0,0.66,0,0.66,0,0,0,1.75,4.4,1.41,0,10.58,0,0,78.18,0,0,0,0,0
 96-106,12.11,0,1.47,0,0,0,0.59,0,0,2.54,4.35,0,0.58,6.6,3.91,0,96.35,0,0,3.08,1.15,0
108-118,4.5,1.59,9.14,0,0,0,2.29,0,0.61,1.8,3.66,0,0,19.32,0.87,0,120.87,0.47,0,0,0,0.48
120,25.35,0,0,1.14,0,0,0,0,0,2.86,0,0,0,39.87,7.65,0,99.73,0,0,0,8.54,0
