stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord
  3-4,1538.29,37040.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617.15,0,0,0,0,0,0
  5-6,1686.89,31688.1,6.55,0,0,0,0,0,0,79.16,0,0,424.35,36.49,0,107.81,828.48,0,0,0,0,0,0
  7-9,99.72,189.51,102.4,0,0,289.49,0,0,0,94.49,0,0,5222.12,98.11,0,1237.46,0,25.87,0,0,0,0,0
 10-12,0,4.66,6.21,0,0,37.39,0,0,0,6.81,0,0,263.54,0,0,156.04,0,0,0,13.04,0,0,0
 14-21,0,0,1.68,7.55,1.23,3.83,0,4.19,0.92,0,5.43,5.65,43.32,2.17,1.09,0.99,3.76,0.9,11.06,1.72,7.15,31.75,23.2
 24-34,0,0,0,1.85,0,0,0,0,0,0,1.57,0,34.61,0,0,0,1.31,0,0,0,1.92,0,4.53
 36-46,0,0,0,0.57,0,0,0,0,0,0,1.94,0,20.39,0,0,0,0,0,0,0,0.58,0,4.22
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.39,6.15,0,0,0,0,0,0,0,0.58,0,6.17
 60-70,0,0,0,0,0,6.49,1.23,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,1.36
 72-82,0,0,0,0,0,0.58,0,3.34,0,0,0.68,0,6.43,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0.65,0,3.09,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,9.28,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,3.39,0,3.97,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,9.87,0,0,0
