stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,42.51,2180.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.92,0,0,0,0,0,0,0,0,0,0
  5-6,147.01,1763.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.41,0,0,0,15.14,0,11.86,0,0,0,0,0,0,0,0,0,0
  7-9,0,12.09,0,0,0,0,0,0,0,0,0,0,9.7,0,0,0,0,0,0,0,0,0,0,0,107.88,0,0,0,51.74,0,0,4.58,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.4,0,0,0,11.14,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.15,2.5,0,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16,0,0,1.77,7.27,0,0,0,0,0,0,0.9,1.86,3.73,4.31,11.4,0,0,1.01,0,0
 24-34,0,0,0.71,0.98,1.38,0,7.77,0,1.63,0.99,0,0,0,0,1.01,0.62,0,0,0,1.9,1.65,0,0,3.46,52.44,2.16,4.04,1.16,0,0,0,0,2.39,0,2.22,18.31,0,0,4.54,0,0
 36-46,0,0,0,4.23,0,0,6.13,3.11,0,0,6.3,0,0,0,0,0,0,0,0,0,4.26,0,0,7.18,86.39,8.92,0.95,1.46,0,0,0,0,1.34,6.64,0,19.33,0,0,2.3,0,0
 48-58,0,0,0,1.76,0.56,0,20.53,2.13,4.12,0,13.93,0.49,0.75,0.53,0.38,0,0,0,2.43,8.91,13.42,0,0,1.17,141.31,0,0.68,0.41,0,0,0,0,0,0.9,0,39.88,0,0,7.27,0,11.08
 60-70,0,0,0,6.2,1.82,0,80.34,2.32,0,0,33.58,1.5,0,0,11.81,0,0,0.72,0.68,0,35.09,0,0,3.3,247.12,6.78,5.68,0,0,0,7.53,0,0,1.67,0,30.39,0,0,6.12,0.59,7.57
 72-82,0,0,0.92,4.91,38.86,0,229.58,6.88,4.86,1.24,20.28,1.61,0,0,1.13,0,0.83,0,1.54,0.5,46.28,2.36,2.07,6.15,299.67,0,5.38,9.8,0,0,1.75,0,0,1.81,0,47.48,0,4.77,17.7,0,6.34
 84-94,0,0,5.29,5.41,16.87,2.35,170.36,0,2.04,2.49,29.01,0,0,0.78,4.09,2.28,0,0.66,4.54,6.45,53.07,3.49,5.94,10.39,179.79,0,6.26,6.22,0,0,13.38,0,4,0,0,13.33,0.9,3.55,4.74,0.6,0.82
 96-106,0,0,1.57,11.21,15.01,0.6,213.96,2.51,1.83,4.12,29.08,0,0,3.88,1.35,0,2.59,0.92,8.18,0,57.12,8.54,4.1,2.82,259.59,1.64,18.4,11.17,0,0,13.36,0,1.97,0.57,0,14.42,0,0,19.34,2.55,20.84
108-118,0,0,0.41,10.83,3.78,3.76,187.06,1.09,4.28,7.81,32.27,3.44,0,0,0.95,8.08,4.24,0.62,5.71,3.73,28.34,11.31,0,3.87,206.09,4.16,8.86,6.12,0,3.71,5.62,0,5.32,5.77,0,7.72,0,3.74,5.63,0,6.31
120,0,0,0,25.67,2.63,0,216.5,1.04,2.36,0,37.5,2.49,0,0,0,6.91,0,1.54,7.42,0,17.64,3.25,0,18.93,351.26,0,24.97,49.82,0,0,0,0,2.81,0,0,0,0,0,2.15,1.05,0
