stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,63.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.81,197.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,26.05,0,0,0,0,4.06,0,0,0,0,0,121.89,18.44,0,0,33.86,0,0,0,0,0,0,0,0
 10-12,0,0,23.76,0,6.05,36.71,0,0,0,0,0,0,0,0,0,0,202.1,20.47,0,0,76.39,0,0,21.66,0,0,0,0,0
 14-21,0,0,0,1.08,0.91,0,0,0,0,0,0,0,0,0.88,0,0,11.96,0.95,0,0,0,0,1.02,0,1.04,3,0,0,0
 24-34,0,0,0,0,0,2.67,0.8,0,0,0,0,0,0,1.55,0,0.64,26.25,0,0.96,0,0,0,0,0.84,0,9.06,0,1.12,0
 36-46,0,0,0,0,0,9.73,0,1.17,2.7,0,0,0,0.61,5.67,0,0.69,80.94,0,0.81,0,0,0,0,0,0,16.59,0,0,0
 48-58,0,0,0,0,0,22.32,0,0,7.02,0,0,0,0,10.18,0,0.37,82.94,0,0.58,0,0,0,0,0,0,20.73,0,0,0
 60-70,0,0,0,0.88,0,31.85,0,0,6.61,1.58,0,0,0,9.55,1.19,0.67,69.68,0,5.58,0,0,0,0,0,0,13.4,0,2.55,0
 72-82,0,0,0,0,0,21.93,0,0.54,8.46,0,0,0.73,0,8.45,0,3.17,79.23,0,2.15,0,0,0,0,0,0,2.53,0,0,0
 84-94,0,0,0,0.87,0.69,43.67,0,0,0.58,0,0,0,0.66,6.99,0.6,0,56.98,0,1.66,0,0,0.72,0,0,0,2.9,0,1.17,10.81
 96-106,0,0,0,0,0,16.66,0,0.84,4.58,0,0,0,0,5.78,0.57,0.71,31.02,0,2.37,0,0,2.85,0,0,0,3.7,0,2.19,0
108-118,0,0,0,3.38,0.41,7.58,0,0.61,1.3,0,0,0,0,0.63,0,0,17.38,0,0.86,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.58,0,18.83,0,0,3.5,0,0,0,0,0,0,0,22.65,0,0,1.66,0,1.26,0,0,0,0,1.99,0,0
