stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,58.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.52,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.23,4.81,0,0,6.54,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.3,12.54,0,3.88,0,0,0,1.12,0,0,2.36,0,0.87,0,0,0,0,3.03,0,0,3.8,72.52,0,0,0.87,0,0,11.34,2.83,1,1.36,3.89,25.81,0,0,0,0,0
 24-34,0,0,1.19,7.52,1.73,0,15.38,0,2.5,0.86,3.8,0,0,2.19,0.71,1.26,0,0.68,0.68,0,31.32,0.61,0,17.51,167.25,1.2,0.77,1.9,0,0,43.12,2.33,0,0,3.42,26.96,0,0,25.04,0,0
 36-46,0,0,0,1.3,2.95,0,16.67,3.7,1.03,0,3.3,0,0,3.13,0,0,0.56,0,0,0,35.07,0,0,2.79,79.36,0,2.08,0.72,0,0,78.09,0,9.05,0,0,7.17,0,0,3.64,0,0
 48-58,0,0,0,0.78,5.14,0,23.4,1.49,9.48,1.76,14.72,0,1.96,1.82,0,0,0,0.98,0,0.83,21.94,0,0.39,5.85,27.63,2.05,0,0,4.77,0,35.33,0,0,0.45,0,5.02,0,0,10.41,0,1.14
 60-70,0,0,0,5.6,18.38,0,13.28,0,1.18,4.14,93.64,0.69,3.21,0.7,0.57,0.58,0,0.72,0,0,31.78,1.02,0,7.3,30.25,0.96,0,0.69,0,0,39.08,0,0,0,0,29.15,0,0,3.6,0,5.69
 72-82,0,0.83,0,5.01,65.98,0,17.14,0,0,5,112.2,0,0,5.33,0,3.2,0.75,1.49,0,0,77.32,4.12,3.87,8.27,25.77,0.55,0.56,3.88,0,0,25.62,0,1.61,3.51,0,18.57,0,0.49,28.72,1.16,1.54
 84-94,0,1.11,0,4.05,59.73,0,13.77,4.47,2.35,1.9,55.66,0.73,6.67,3.41,3.69,0,1.66,6.53,0,5.34,52.62,0,2.25,1.48,31.23,0,1.54,8.09,0,0,76.56,0,0,0,0,26.8,0,0.98,12.93,0,2.42
 96-106,0,0,0,3.17,53.52,1.96,15.43,6.7,2.73,0.74,126.95,4.82,0,1.61,1.62,0,1.03,7.71,0,0,78.66,0,1.74,10.34,26.28,1.62,0.7,12.1,0,0,78.82,0,0.73,0,0,16.29,2.16,3.79,21.82,2.87,1.36
108-118,0,0.6,0.74,3.25,35,2.47,15.27,5.88,2.03,4.93,109.97,1.58,0,2.59,7.41,0,1.87,3.84,6.75,0,89.65,0,0.51,11.6,13.58,0,2.71,3.84,0,4.36,36.09,0,0,3.63,0,12.02,0,2.05,8.86,3.1,4.36
120,0,0,0,4.29,49.6,0,11.98,2.29,6.8,8.4,326.69,2.13,0,7.05,2.65,3.52,2.62,4.79,4.94,1.33,68.54,0,0,5.9,18.92,1.77,10.06,6.1,0,5.9,42.01,0,0,16.99,0,25.81,0,0,18.97,0,9.75
