stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,122.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0,0
  5-6,6.55,15.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.35,0,0,0,3.77,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,12.81,9.19,0,0,23.46,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.01,0,0,0,25.79,0,0,4.8,0,0,0,0,0,0,0,0
 14-21,0,0,3.53,7.17,3.87,1.69,0,0,0,0,0,0,1.19,0,0,0,1.79,0,0,5.87,1.13,5.03,0,0,3.59,63.61,4.71,3.35,0,0.89,0,1.62,0,1.68,0,32.8,0,0,2.25,0,0
 24-34,0,0,6.9,1.26,0.65,0.68,0,10.72,0,0,0.78,9.85,1.74,0,0,6.28,0.71,0,0,22.29,0,22.38,0,0,2.33,457.14,1.44,48.18,16.52,0,0,2.08,0,2.2,0,119.65,0,0,18.23,0,0
 36-46,0,0,7.8,0,9.16,0,0,22.24,0,0,6.5,8.33,0,0,0,15.02,0,0,0,0,19.62,39.13,0,0,9.04,1019.43,5.79,48.47,11.86,0,0,13.79,0,3.52,0,226.52,0,0,12.51,0,0.56
 48-58,0,0,3.9,0,8.56,1.56,0,121.32,0,0,10.51,16.83,0,0,0.9,20.25,0.49,1.5,0.4,11.21,6.41,70.28,0,1.82,14.5,1601.21,4.15,33.33,17.33,0,0,5.35,0,9.73,0.95,198.47,0,1.52,26.02,0,7.58
 60-70,2.52,0,3.09,0,3.3,1.92,0,538.31,0,0,12.06,16.24,8.98,0,5.07,54.04,0,11.36,0.8,0.68,0,129.07,0,0.76,14.21,2265.6,1.83,35.59,4.22,0,3,10.6,0,0,0,254.66,0,2.78,22.55,0,6.23
 72-82,0,0,6.23,0,10.27,1.64,0.56,1146.46,0,4.19,27.87,34.82,18.44,0,0,39.62,0.74,19.59,7.34,5.51,0,277.71,0,5.52,14.57,2823.92,10.95,52.64,19.41,0,2.17,23.65,0,7.1,0,181.97,6.19,1.36,34.79,4.65,27.39
 84-94,0,0,6.48,0,29.72,6.02,2.11,865.43,0,3.29,24.01,53.56,20.65,0,0.7,54.54,0,54.43,4.16,4.62,5.7,240.87,6.09,3.4,3.27,1756.31,2.22,27.38,14.95,0,1.53,7.57,0,10.89,0,150.37,2.9,12.84,31.06,4.74,14.53
 96-106,0,0,8.21,0,7.84,13.46,0.59,1076.12,1.02,0.67,15.58,53.18,68.17,0,0,52.57,3.22,38.43,10.13,4.16,0.68,159.77,1.42,5.33,5.57,1618.86,8.24,26.79,27.09,0,0,8.05,0,7.62,0,43.31,2.82,2.83,35.56,4.67,36.89
108-118,0,0,6.91,0.49,31.01,14.52,27.42,899.66,0,0,8.72,50.03,99.94,0,1.01,51.07,1.38,70.14,2.25,3.47,0,214.35,0,6.06,5.86,2025.07,3.11,33.23,33.63,0,3.45,3.54,0,14.88,0,19.23,1.33,3.02,39.32,2.15,9.26
120,0,0,7.11,0,16.09,5.29,11.16,559.19,4.88,0,8.23,60.22,100.31,0,0,42.19,4.13,21.78,1.07,42.46,0,256.37,0,15.72,1.26,3133.73,14.07,28.4,28.77,0,4.48,0,0,13.72,0,49.2,3.15,0,81.54,13.27,0
