stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,spinal_cord
 10-12,0,5.1,4.96,0,0,0,0,0,5.38,0,0,9.74,0
 14-21,0,0,0,0,0,0,0,0,1.24,0,0.94,0,0
 24-34,0.64,0,0,0,0,0,1.53,0.78,20.11,0,0,0,0
 36-46,0.64,0,4.57,0,0,0,1.04,0,20.89,0,0,0,0.78
 48-58,0,0,6.29,0,0,0,0.9,0,11.79,3.15,0,0,1.23
 60-70,0,0,21.55,0.9,0,0,3.36,0,19.15,0,0,0,2.09
 72-82,0,0,6.71,0,4.52,0,0,0,7.66,0,0,0,2.83
 84-94,0,0,0.95,0,0,0.98,1.38,1.83,4.3,0,0,0,0
 96-106,0,0,0,0,0,0,2.82,0,4.65,0,0,0,0
108-118,0,0,2.09,0,1.36,0,0,0,3.62,0,0,0,0
120,0,0,7.28,0,0,0,2.51,0,53.59,0,0,0,0
