stage,epidermis,eye,mesenchyme,neural,olfactory,somites
 14-21,0,0,0,0.82,0,0.82
 24-34,0,0,0,3.67,0,0
 48-58,0,0.4,0,0.88,0,0
 60-70,0.71,0,0,3.39,0,0
 72-82,0.8,0,0.79,4.61,0,0
 84-94,0,0,0,5.31,0,0
108-118,0,0.67,0,0,0.61,0
120,0,0,0,0,7.31,0
