stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,gut,hatching_gland,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,xanthophores
  3-4,0,96.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,277.57,0,0,0,0,0,0,0,0,0,0,21.31,0,0,13.27,32.28,0,0,0,0,0
  7-9,3.27,35.96,17.05,0,0,53.36,0,16,0,0,0,0,847.03,20.07,0,361.63,12.07,0,0,0,0,0
 10-12,0,24.61,5.47,0,11.77,0,0,0,0,0,0,0,1248,9.61,0,562.59,7.72,23.09,0,10.19,0,0
 14-21,0,0,0,1.96,0,0,0,0,0,0,0,0,5.41,0,0,0,6.06,0,5.34,1.05,0,0
 24-34,0,0,0,0.74,0,0,0,0,0.7,0,0,1.95,10.31,0,0,0,4.58,0,0,0,0,0
 36-46,0,0,0,1.16,0,0,0,0,0,0,0,0,1.73,0,0,0,0.78,0,0,0,0,0
 48-58,0,0,0,0,0,2,0,0,0,0.48,1.26,0.81,11.64,0,0.44,0,3.98,0,0,0,0,1.18
 60-70,0,0,0,0,0,1.83,0,0,0,0,2.2,0,1.05,0,0,0,4.41,0,0,0,1.04,0
 72-82,0,0,0,0,0,1.23,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0.66,0,0,3.59,0,0,0,0.58,0,0,0,0,0
 96-106,0,0,0,0,0,2.67,0,0,0,0,0,0,3.32,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.43,0,1.04,0,0,0,0,0,0,11.41,0,0,0,2.23,0,0,0,0.48,0
120,0,0,0,0,0,0,1.21,0,0,0,11.27,0,0,0,0,0,0,0,0,0,0,0
