stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste
  3-4,33.68,434.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0,0,0,0,0
  5-6,53.93,496.32,0,0,0,0,0,0,12.54,0,0,0,0,0,20.71,0,0,0,0,6.25,0,0,0,0,0
  7-9,3.48,31.44,15.62,0,0,15.97,0,0,24.83,0,0,0,0,0,474.71,3.67,0,0,119.71,3.37,0,0,0,0,0
 10-12,0,3.64,36.58,0,7.85,12.99,0,0,3.5,0,0,0,0,0,218.98,0,0,0,68.14,0,0,6.12,3.87,0,0
 14-21,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,1.28,0.85,0,0,1.37,0
 24-34,0,0,0,2.85,0,0,0,0,0,0,0,0,0.84,0.61,14.06,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,2.77,0,0,0,0,0,0,0,0,0,0,1.51,0,1.18,0,0,0,0,0,0,0,0
 60-70,0,0,0,1.02,0,1.55,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.24,0,0,0,0,0,0,0,1.33,0,1.06,0,0,0,0,0,0,0,0.94
 84-94,0,0,0,1.02,0,0,0,0.72,0,0,1.52,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,2.76,0,0,0,0,0,0,0,0,0,0.8
108-118,0,0,0,0.42,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,1.24,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76,0,0,0,0,0,0,0
