stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,visceral_smooth_muscle
  5-6,10.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.8,0,0,0,0,0,0,4.75,0,0,0,0,3.47,6.21,0,6.97,0,0,0,0
 10-12,0,4.1,0,0,0,0,0,0,3.04,0,0,0,0,30.74,10.13,0,10.89,0,14.37,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.76,0,0.83,4.25,0,0,0,0,0,0.9,0
 24-34,0,0,3.02,0,0,0.7,0,0,0,1.3,0,1.05,1.37,4.55,0.75,0,0,5.45,0,1.4,0
 36-46,0,0,3.2,0,0,0,0,0,0,0,0,1.35,0,0.62,0,0,0,0,0,0,0
 48-58,0,0,0.44,0,0,0,0.53,0,0,1.26,0,0,0,2.24,0,0,0,1.09,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.82,0,2.39,0,1.9,0,0,0,2.02,0,0,0
 72-82,0,0,0.6,8.99,4.03,0,0.6,0,0,0.94,0.74,4.46,0.51,2.22,0,0,0,4.39,0,1.2,0
 84-94,0,0,1.29,0,2.92,4.74,0,21.32,0,1.42,1.62,3.42,0,0,0,1.1,0,3.92,0,0,0
 96-106,0,0,0,0,0.62,0,0,0.59,0,0.63,0,0,0,3.51,0,0,0,3.19,0,0,0
108-118,0,0,47.63,0,0,0.42,0,199.03,0,0.45,1.03,3.28,0,4.3,0,0,0,17.89,0,0,0
120,0,0,76.54,0,0,0,0,0,0,0,0,1.48,0,19.18,0,0,0,0,0,0,6.02
