stage,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,neural,olfactory,periderm,spinal_cord,taste,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,8.26,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.69,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.43,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0
 24-34,0,0,0,0,0,0,0.63,0,0,1.17,0,0,0,0,0,0,0
 36-46,0.65,0,0.7,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0.84
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0.43,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,3.17,0,3.61,0,0,0
 72-82,1.73,0,0.74,1,0,1.37,0,0,0,0,1.11,4.85,0,0,0,0,0
 84-94,1.63,2.09,0,1.83,0,1.57,0,2.74,0.58,0,0,0,0.78,0,0,0,0.59
 96-106,0,0,0,0,2.49,5.44,0,3.17,0,1.48,0,0,0,0.56,0,1.02,0.6
108-118,1.15,0,0,3.28,0,4.05,0.95,2.61,0,0,0,0,1.06,1.79,0,1.76,0
120,0,0,0,0,0,4.1,1.63,0,0,0,1.65,0,0,0,0,0,0
