stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,10.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,26.12,0,0,3.97,0,0,0,0,0
 10-12,0,0,0,20.11,0,0,0,51.61,0,0,35.67,0,0,0,0,0
 14-21,0,3.15,0.94,1.09,1.62,3.48,0,27.49,0,0,0,0.86,0,1.63,19.08,0
 24-34,0,0,0,1.47,0,1,0.66,18.76,0,0.67,0,0,0,0,1.97,0
 36-46,0,0,0,0,0,0,0,10.84,0,0,0,0,2.35,0,0,0.65
 48-58,0,0,0,0.98,0,0.4,0,7.39,0,0,0,0,0,0,1.07,0
 60-70,0,0,0,1.79,0,4.47,0,4.44,0,0,0,0,0,0,0,0
 72-82,0,0,0,4.56,0,3.28,0,5.93,1.29,0,0,0,0,0,1.11,0
 84-94,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,7.8,0,0,0,1.2,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,5.39,0,0,1.94,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,2.17,0,0,0,0,0,0,0,0
