stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.9,41.29,20.65,0,13.43,0,0.82,0,6.16,4.83,1.08,2.21,0,0,0,0,0,0,14.71,0,0,14.23,199.67,2.12,0.98,3.2,7.51,0,2.84,0,26.74,0,7.39,27.14,72.93,0,0,6.74,0,0
 24-34,0,1.3,18.29,2.55,0,23.43,0,0,0,10.46,1.01,0,2.44,0,1.11,0,0,0.76,0,26.48,1.54,0,10.6,279.42,0.63,1.36,2.51,0,0,28.72,0,0,1.31,0,7.83,78.32,0,0,11.27,0,0.72
 36-46,0,0,9.28,0,0,50.97,0,1.14,1.39,18.15,0.56,0,0,0,0,2.65,1.31,0,4.76,40.57,0,0.72,9.88,303.73,1.21,3.88,0.6,0,2.1,17.85,0,0,2.25,0,0.63,92.72,0,0,11.24,0,0
 48-58,0,0,2.49,0.43,0,65.42,0.92,11.9,2.16,28.39,1.83,0,0,10.74,0,4.87,0.41,0,8.41,27.58,0.88,2.24,12.17,232.08,0,0.55,1.21,0,0.45,8.46,0,0,0,0,0,90.7,0,1.52,11.17,0,0
 60-70,0.86,0,6.97,1.81,0,122.33,0.68,8.09,2.07,18.77,1.29,0,1.59,0.57,0,0,3.15,2.97,1.64,39.64,0.84,0,3.4,243.72,0,2.18,4.71,0.81,0.63,13.87,0,0,0,0,0,46.59,0,0,7.89,1.79,0
 72-82,0.56,0,14.51,14.1,0,183.25,0.82,0,9.7,38.19,2.63,0,0.66,1.13,0.79,0.52,0.71,1.32,0,79.95,1.14,3.57,15.17,323.95,0,5.19,0,0,1.4,12.26,0,0,0,0,0,51.96,0,1.34,20.95,0.93,0
 84-94,1.68,0,8.59,36.3,0,136.43,0.55,0.7,6.08,23.47,7.15,0,1.65,10.43,1.17,1.02,1.46,3.17,0,59.78,0,0,10.46,200.66,0,0.61,7.55,0,1.49,35.31,0,0,0,0.66,0,16.62,0,1.05,15.72,0,3
 96-106,2.94,0,15.51,53.92,0,134.69,0,3.57,0,28.81,3.79,0,3.88,5.95,7.98,3.11,0.67,0,0.68,50,0,6.59,7.55,213.85,0,4.49,9.07,0,3.68,39.07,0,0,0,0,0,13.41,5.74,0,21.54,2.43,0
108-118,0.77,0,18.1,41.88,0.58,190.5,0,6.9,0,22.35,5.87,0,0,12.75,4.59,2.09,3.37,2.59,0.78,75.33,0,0.98,9.31,205.18,1.2,4.12,12.84,0,0,20.58,0.79,0,0,0,0,21.45,2.32,0,17.26,1.94,5.17
120,0,0,17.54,26.48,1.6,107.75,13.89,1.23,0,41.39,18.52,0,0,21.7,8.08,0,1.12,0,18.59,60.73,3.7,0,1.46,308.83,9.11,6.86,16.2,0,0,31.71,0,0,1.12,0,0,11.14,0,0,38.54,11.8,3.58
