stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,204.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.42,206.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.24,0,0,0,0,0,7.32,0,0,0,0,7.83,0,0,0,0,0,0,0,0,0,0,0,47.44,3.62,0,0,33.76,0,3.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,15.91,0,0,0,0,0,0,0,0,0,0,0,50.81,7.22,0,0,25.2,0,0,3.78,0,60.33,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.94,81.73,0,3.21,0,0,0,20.23,5.37,0,0,0,0,0,0,0,17.8,0,0,4.68,69.51,5.41,0,0,6.16,0,12.98,0,10.12,123.74,2.58,6.78,74.92,0,0,16.52,0,0
 24-34,0,0,0.61,1.53,1.65,0,5.58,0,1.18,0,41.09,0,1.18,0,0,0,0,0,0.65,26.65,0,0,2.05,98.89,0.75,1.19,0.79,0,0,44.76,0,0,16.39,0,2.04,56.08,0,0,58.83,0,7.48
 36-46,0,0,0.73,0,0,0,11,0,4.45,2.5,66.07,0,4.39,0,4.54,0,0,0,0,23.74,4.32,0,2.42,68.4,0,0.76,0,0,0,69.5,0,0,4.42,4.22,0,46.02,0,0,37.16,0,3.17
 48-58,0,0,0.46,4.7,0,0,7.92,0,1.35,0,92.83,12.95,1.83,0,0,0,0,0,7.28,48.38,0,0,1.88,51.13,1.5,0,2.19,0,0,29.81,0,0,0.68,0,0,80.22,0,0,18.04,0,11.68
 60-70,0,0,0.6,2.88,0,0,43.65,0,0,5.04,155.9,15.94,0,0,0,0,0,0,5.4,91.44,0,2.16,3.39,88.23,0,3.22,1.56,0,0,55.46,0,0,0,0.86,0,65.42,0,0.63,16.14,0.59,11.63
 72-82,0,0,0,0,1.36,0,31.74,0,3.88,5.18,467.01,3.71,6.19,0,0,5.66,0.65,1.36,1,272.22,0,10.41,9.18,48.44,0,1.23,4.19,0,2.98,22.23,0,0,1,0,0,46.23,0.69,2.34,36.85,5.61,15.67
 84-94,0,0,0,9.24,8.47,0,44.6,0,1.81,8.66,398.56,8.68,5.64,0.67,0.58,5.28,0,0,14.47,231.61,0,11.52,6.77,21.57,0,2.27,0.99,0,0,75.63,0,0,1.09,0,0,64.5,0.55,0,22.03,5.24,16.62
 96-106,0,0,0.88,7.25,0,0,32.78,0,6.56,5.79,371.4,0,2.27,0,0,9.48,4.59,0,0.71,208.25,0,12.15,11.21,65.3,0,0.59,1.51,0,3.1,57.4,0,0,2.35,0,0,74.23,0,2.14,62.2,10.68,8.85
108-118,0,0,0.6,15.56,5.15,2.97,51.81,0,14.66,20.83,558.61,0,0.8,0.51,1.93,13.6,0,0.73,3.78,258.95,0.46,14.44,10.32,80.78,0.55,1.9,8.25,0,10.47,55.44,0,0,0,0.87,0,25.53,0,2.32,47.19,7.18,17.87
120,0,0,0,17.34,0,0,65.96,3.87,7.55,16.28,638.17,5.2,7.1,0,2.51,16.01,0,0,3.23,320.88,1.59,36.87,20.03,16.51,0,0,0,0,0,84.42,0,0,3,0,0,32.61,0,0,84.42,4.69,4.42
