stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,neural,olfactory,paraxial_mesoderm,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.24,399.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.74,167.2,0,0,0,0,0,0,0,8.57,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,10.02,0,7.54,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,13.55,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.83,0,0,0,0,0,0.8,0,0,0,0
 24-34,0,0,0,1.27,0,0,0,24.77,0,0,0,4.37,0,0,0,0
 36-46,0,0,0,0,0,0,0.76,84,0,0,0,9.82,0,0,0,0
 48-58,0,0,0,0,10,1.92,0.66,113.93,0,0,0,18.92,0,0,0,0
 60-70,0,0,0,0,62,1.59,2.53,259.66,0,0,0,25.49,0,0,0,0
 72-82,0,0,0,0,83.97,1.83,1.71,279.67,0.93,0,0,21.76,0,0,0.75,0
 84-94,0,0,0.69,0,64.43,2.16,3.23,186.66,0,0,0,19.41,0.9,0,0,0
 96-106,0,0,0,0,71.11,0,0,153.58,0,0,5.77,3.44,0,0.58,0,5.36
108-118,0,0,0,0,28.63,3.56,4.34,142.11,0,0,0,0,0,7.23,0,0
120,0,0,0,0,96.63,20.6,1.52,275.79,0,0,0,10.6,0,0,0,0
