stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,glial,hatching_gland,heart,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pgc,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,150.51,2717.21,0,0,0,0,0,0,0,0,0,0,0,0,0,84.42,0,0,0,0,0
  5-6,62.86,976.88,0,0,0,0,0,0,0,0,0,69.61,0,0,0,8.22,0,0,0,0,0
  7-9,4.71,11.34,0,0,0,0,0,5.72,0,0,0,139.18,0,50.72,0,0,23.34,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,17,0,5.38,0,0,16.54,0,0,0,0
 14-21,0,0,0,1.07,0,0,0,0,0,0,0,5.91,25.89,0,0,0,6.08,0.84,0,0,0
 24-34,0,0,0,0,0,1.96,0.69,0,3.15,0.68,0,0.74,3.63,0,0,0,0,0.76,0,0.96,0
 36-46,0,0,0,0,0,16.1,0,0,0,2.35,0,0.83,2.03,0,0,0,2.35,0,0,0,0
 48-58,0,0,0,0,0,13.39,0,0,0,0.87,0,1.84,1.34,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.71,0,16.51,2.35,0,0,1.39,0,0,3.06,0,0,0,0.85,0,0.83,0,0
 72-82,0,0,0,0,0,3.51,0,0,0,0,0,0,0,0,0,0,0,1.38,0,0,0
 84-94,0,0,0,0,0,2.75,0,0,0,0,0,2.03,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,2,3.52,0,2.14,0,0,0,0,10.91,0,0,5.34,2.47,0,0,0,2.6,0
108-118,0,0,0.74,0,0,6.11,0,0,0,1.53,0.81,0,2.58,0,0,0,0,0,2.7,0,0.72
120,0,0,0,0,0,6.84,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0
