stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,23.72,285.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.97,0,0,0,0
  5-6,19.92,285.68,0,0,0,0,0,0,0,0,0,0,0,0,0,32.25,0,0,0,0,0,0,0,0,0
  7-9,0,7.43,0,12.11,0,0,15.47,0,0,0,0,0,0,0,0,119.65,4.41,0,0,16.02,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.86,0,0,0,11.57,0,0,0,0,0
 14-21,0,0,0,0,0.92,0,2.09,0,1.13,0,0,0,1.02,0,0,11.38,0,0,0,0,0,0,1.45,4.26,0
 24-34,0,0,0,0,0,0,1.44,0,0,0,0,0,1.6,0,0,35.01,0,0,0,0,0.61,0,0.79,0.84,4.17
 36-46,0,0,0,0,0,0,0.63,0,10.06,0,0,1.62,1.83,0,0,28.32,0,1.65,0,0,3.08,0,0,5.33,0.75
 48-58,0,0,0,0,0,0,4.68,0,1.3,0,0,0,0.71,0.42,1.3,32.08,0,0,0,0,0,0,0,5.72,0
 60-70,0,0,0,0,0,0,5.45,0,2.16,0,0,0,0,0,0,23.3,0,0,2.13,0,0,0,0,2.39,0
 72-82,0,0,0,0,0,0,14.37,1.34,0,0,0,0,2.94,1.17,0,26.22,0,0.79,0,0,0,0,0,0,0.96
 84-94,0,0,0,0,0.78,0,0.91,0,1.3,0.79,0,0,6.29,0,0.71,12.89,0,0,0,0,1.89,0,0,0,0
 96-106,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0
108-118,0,0,0.79,0,0,1.65,3.89,0,2.2,0,1.08,0,0,0,0,9.03,0,0,0,0,0,0.48,0,0,0
120,0,0,0,0,0,0,11.66,0,3.73,0,0,0,5.47,0,0,6.82,0,0,0,0,2.75,0,0,1.7,0
