stage,blastomeres,eye,glial,gut,heart,immune,ionocyte,mesenchyme,neural,olfactory,paraxial_mesoderm,vasculature
  3-4,37.76,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.8,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,6.08,0
 14-21,0,1.42,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.97,0,0,0
 36-46,0,0.76,0,0,0,0.7,0,0,3.7,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.52,0,0,0
 60-70,0,0,0,0,0,1.69,0,0,3.88,0,0,0
 72-82,0,1.9,0,0,0,5.44,0,0,4.22,0,0,0
 84-94,0,0,0,0,0,9.72,0,0,0,0.76,0,0
 96-106,0,0,0,0,0,13.87,1.13,0,0.77,0,0,0
108-118,0,0,0,0.45,0.8,30.56,0,2.01,6.46,0.43,0,0.59
120,0,0,19.34,0,0,32.61,0,0,0,0,0,0
