stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,11.67,48.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,106.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9,0,0,0,0,0,3.85,0,0,0,0,6.21,0,0,0,0,0,0,0,0,64.07,0,0,0,35.79,0,0,0,0,0,0,0
 10-12,0,10.39,0,8.1,0,0,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,44.77,0,0,0,26.5,0,0,0,0,0,0,0
 14-21,0,0,0,0.91,0,0,0,0,0,1.1,0,0,0,0,0,0,1.73,0,0,0.92,15.13,0,0,0,0,0,0,0,0.89,5.67,0,0
 24-34,0,0,0,0,2.29,0,3.03,0.69,0,0,0,0,0,0,0,0,5.32,0,0,3.17,64.05,0,2.56,0,0,0,0,0,0,7.77,1.26,0.63
 36-46,0,0,0,0,0,0,7.78,0,0,0,0,0,0,0,0,0,4.75,0,0,0,74.47,0,0,0,0,0,1.36,0,0,8.85,0,0
 48-58,0,0,0,0,4.49,0,11.76,0,0,9.58,0,0,0,0,0,2.43,6.37,0,3.47,0,25.43,0.46,0,0,0,0,11.51,0,0,3.37,3.1,0
 60-70,0,0,0,0,4.86,0,21.11,6.2,0,0.62,0,0,0,1.37,0,0,0,6.25,0,0,42.41,0,0,0,0,1.22,0,0,0,4.12,2.46,0
 72-82,0,0,0,0,0,0,5.01,0,0,2.72,0,0,1.04,2.93,1.19,0,8.86,0,0,1.4,20.73,0,0,0.5,0,0,0.49,0,0,6.81,0,0
 84-94,0,0,1.33,0,1.16,4.1,21.8,0,0,1.34,0,0,0,0,0,0,6.17,0,0,2.06,8.08,0,0,0,0,0,2.37,1.18,0,0,1.91,0
 96-106,0,0,0,0,0,0,4.85,0,2.07,0,0,0,0,0,5.55,0,3.46,0,0,0,5.04,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.48,0,4.93,0.9,0,0,0,0,0,0,0,0,3.97,0,0,0,20.84,0,0,0,0,0,0.47,0,0,0,0,0.5
120,0,0,0,0,0,0,3.07,0,0,17.44,1.12,0,0,0,0,0,13.71,0,0,0,51.87,0,0,5.36,0,0,1.13,0,0,0,0,0
