stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,0,127.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0
  5-6,0,95.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.69,6.18,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,0,0,0,71.28,9.4,0,0,8.56,0,0,0,0,0,0,0,0
 10-12,0,0,0,49.99,0,0,12.87,0,0,0,0,0,0,0,0,0,0,0,0,0,78.91,0,0,0,14.58,0,0,10.93,0,0,0,0,0
 14-21,0,0,0,0,2.98,0,20.56,0,0,0,0,0,0.96,0,6.82,9.42,3.4,0,0,0,2.7,1.44,0,1.91,0.99,0,0,0,0,2.87,0,0,0
 24-34,0,0,0,0,0,0,59.39,1.14,0,0,3.87,0.89,5.25,0,0,83.15,0.85,0,0,0.98,23.55,0,0,1.55,0,0,0,0,0,7.39,0,21.35,0.98
 36-46,0,0,0,0,0.55,0,55.09,0,0,0,19.42,0,1.41,0.61,1.56,191.63,0.57,0,0,0,30.18,0,0.94,0,0,0,0.85,0,1.34,5.88,0,8.87,0
 48-58,0,0,0,0,0,0,59.96,0,0,0.88,34.1,0,10.23,0.38,0,213.6,0.83,0,0,4.49,25.31,0.64,1.59,0,0,0,0,0,0,6.05,0,4.21,7.96
 60-70,0,0,0,0,4.02,0,84.96,0,0,0,26.85,0,24.35,1.85,0,105.7,0.96,0,0,0,51.57,0,1.56,0,0,0.71,6.25,0,0,3.66,0,2.29,3
 72-82,0,0,0,0,0,0,45.61,0,0.78,0,25.92,0,26.75,0.91,0,59.38,2.83,0.79,0,0.58,99.58,0,1.4,0,0,0,1.05,0,0.57,3.07,0,7.86,0
 84-94,0,0,0,0,1.96,0,64.47,0,0,3.73,40.15,0,20.73,5.96,0,140.25,0.62,0,0,0,38.27,0,0,0,0,0.77,2.9,0,4.2,1.7,0,0,3.47
 96-106,0,0,0,0,5.45,0.96,53.74,7.32,0,0,29.2,0.63,14.35,14.02,0.59,46.72,1.44,0,0,0.76,64.31,0,0,0,0,0,12.97,0,0,0,0.82,9.5,0
108-118,0,0,1.77,0,2.43,0,72.46,0,0,0.54,25.84,1.82,40.2,4.02,0.6,93.9,0,0.91,2,0,75.04,0,3.18,2.77,0,1.97,17.15,0,1.65,1.33,0.43,8.17,4.34
120,0,0,0,0,1.65,0,46.69,3.44,0,0,65.16,3.04,30.04,6.09,0,37.45,7.57,0,0,10.14,173.28,0,1.26,0,0,0,49.05,0,1.02,26.96,0,2.82,2.78
