stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,253.47,4244.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3236.76,0,0,0,0,0,0,0,0
  5-6,172.73,1356.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.21,0,0,0,8.83,3271.74,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.34,0,0,5.19,0,0,0,0,0,11.7,0,0,0,0,0,0,0,0,130.77,5.08,0,0,34.3,252.47,0,0,0,0,0,0,0,0
 10-12,0,4.66,0,27.96,0,0,11.8,0,0,0,0,0,8.54,0,0,0,0,0,0,0,0,411.43,0,0,0,5,41.98,0,5.29,0,0,0,0,0,0
 14-21,0,0,0,8.77,326.09,1.06,0,0,6.45,0,0.84,13.79,0,0,40.21,0.93,0,0,0,3.72,0,27.31,0,1.08,5.52,0,175.98,1.06,0,0,0.94,0,0,0,0
 24-34,0,0,0,7.67,125.07,0,1.85,0,24.55,0,0,2.22,6.92,0.6,30.16,4.97,0.68,0,5.82,1.48,1.93,16.65,0,4.85,2.98,0,237.68,0,1.04,0.69,8.64,0,0,0,0
 36-46,0,0,0,0,55.24,0,3.93,0,11.42,0,7.51,0,0,0,10.61,7.75,0,0,8.54,4.89,0,31.4,0,6.19,5.73,0,244.98,0,0,0,7.3,0,0,0,0
 48-58,0,0,0,0.4,42.89,0.46,6.31,0,15.53,0,0,3.14,0,0,9.59,8.38,1.04,2.19,0.92,4.06,0,23.32,0,5.35,4.1,0,174.34,0,0,0,5.03,0,0,0,7.75
 60-70,0,0,0,0,40.09,0,8.32,0,9.74,0,0,13.42,1.77,0,16.34,4.84,2.25,0,4.3,4.5,2.3,10.65,0,1.78,3.46,0,186.45,0,0,0,1.3,2.74,2.2,0,0
 72-82,0,0,0.68,0.56,36.82,1.5,10.95,1.58,1.92,0,4.31,26.75,0,0.52,8.81,9.54,0,0,1.24,9.48,2.29,14.25,0,5.06,4.62,0,113.88,0,0,0,1.37,0.68,0.62,0.76,0
 84-94,0,0,5.51,0,73.46,1.76,0.58,0,29.11,0,0.96,29.21,0,0,18.48,8.77,1.38,0,3.91,11.95,0.99,17.12,0,11.81,12.27,0,351.4,0,0,0,1.74,8.23,5.81,0.68,0
 96-106,0,0,2.26,0,76.26,0,17.82,0,19.57,0,1.65,47.55,0,1.43,23.47,10.8,0,0,1.61,12.06,0,27.77,0,11.15,4.05,0,279.29,0,0.9,0,0,7.92,3.41,0,0
108-118,0,0,1.82,1.07,98.27,8.01,7.74,0,32.81,1.06,0,66.54,0,7.04,31.77,9.87,1.74,0,3.31,13.88,0,20.13,0,6.2,0.43,0,238.92,0,0.94,0,0,7.18,0,0,0
120,0,0,0,0,106.87,0,10.61,0,26.76,0,0,57.09,0,0,25.28,0,3.42,0,3.28,5.52,0,42.14,0,0,0,0,122.95,0,0,0,0,6.4,0,0,0
