stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.45,2418.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.96,0,0,0,0,0,0,0,0,0,0,0
  5-6,47.23,1052.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.07,0,0,0,0,0,38.7,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,14.57,0,9.87,0,0,52.38,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,397.23,15.1,0,0,118.11,0,8.35,24.73,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.76,0,48.9,0,0,89.9,0,0,0,0,0,15.63,0,0,0,0,0,0,0,0,0,659.33,13.08,0,0,195.02,0,0,32.94,5.62,37.31,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.93,23.91,6.01,15.26,0,0,0,10.21,1.99,0.85,0,0,0.9,0,0,0,27.49,0,10.29,348.05,3.69,1.1,9.8,8.44,0,4.79,1.68,33.67,5.77,1.83,20.09,99.88,0,0,2.45,0,0
 24-34,0,0,0,0,8.63,0.67,44.77,0,0,0,13.75,0,0,0,0,0,1.45,0.7,0.65,44.61,0,15.19,491.45,5.72,4.55,1.34,0,0,11.64,0,0.93,0,0,2.54,89.46,0,0,24.1,0,0
 36-46,0,0,0,0,8.09,0,46.23,0,0,0.6,19.59,0,0,0.57,0,0,1.97,0,0,26.95,0.71,10.94,206.31,0,12.81,0.59,0,0,4.29,0.68,0,2.66,0,0,60.02,0,0,4.22,0,0
 48-58,0,0,0,0,2.53,0,42.15,0.58,0,1.4,13.59,0,0,1.04,0,0,0,0,0,59.27,0.69,5.34,124.31,4.08,6.87,0.75,0,0,3.08,0,0,0,0,0,24.19,0,0,2.46,0,0
 60-70,0,0,0,0,12.2,0,28.85,0,0,0.85,36.3,0,0,1.77,0,0.61,0,0.77,0,35.77,0,2.41,123.35,0,1.27,0,0,0,15.78,0,0,0,0,0,14.99,0,0,2.72,0.73,0
 72-82,0,0,0.58,0,11.66,8.11,28.53,0,0.86,2.96,26.07,3.73,0,1.25,2.88,0,0,0.91,1.03,71.31,0,2.34,69.2,0,4.47,6,0,1.58,10.09,0,0,0,0,0,13.96,0,3.11,5.63,0.72,0
 84-94,0,0,0.66,0,9.4,0.68,15.13,0,0,1.03,22.46,0,0,4.17,2.78,0,0.74,1.85,0,67.24,1.54,5.92,84.92,0,1.42,3.3,0,1.01,16.21,0,0,1.13,0,0,10.85,0.78,0,5.53,2.16,0
 96-106,0,0,0,0,6.57,5.96,21.68,0,3.41,0,20.03,0,0,0,1.64,0,0.92,2.6,0.63,52.78,3.62,2.43,75.91,0,8.95,10.19,0,0,21.02,0,0,0,0,0,3.03,0,0,5.06,0.74,0
108-118,0,0,2.64,0.74,7.69,8.09,24.51,0,0,5.04,36.32,0,0,0,3.78,2.59,0,2.39,1.28,47.97,3.85,2.71,85.39,0,7.76,5.39,0,0,10.2,0,0,0,0,0,2.42,6.48,1.41,24.53,3.91,1.58
120,0,0,0,0,15.97,0,26.13,1.99,0,4.05,14.89,0,0,0,3.09,2.52,0,2.12,0,51.82,0,7.79,128.38,0,21.7,2.28,0,13.59,4.12,0,0,0,0,0,0,0,0,4.4,0,0
