stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,275.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.75,192.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.71,0,5.04,0,0,0,0,0,0,0,0,0,10.16,0,0,0,0,0,0,0,0,0,0,0,61.79,0,0,0,35.67,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.91,0,0,0,0,0,0,0,0,0,4.51,0,0,0,0,0,0,0,0,0,0,0,50.79,85.03,0,0,87.14,0,5.47,0,0,0,25.67,0,0,0,0,0
 14-21,0,0,30.33,4.46,6.13,0.92,0,1.93,0,0,0,85.65,0,0,0,0,0,0,0,0,0,1.02,0,0,8.6,76.64,8.97,0,0,1.03,1,0,9.86,0,580.95,283.9,414.34,0,0,0,0
 24-34,0,0,14.49,0.59,2.4,0.62,0,20.87,24.57,0,0,190.69,0,0,0.82,0,0.59,0,0,0,0,7.44,0,0,32.13,133.94,0.7,3.35,0,0,1.64,1.47,0,0,158.33,129.4,650.02,0,0.96,0,0
 36-46,0,0,2.02,0,0,0,0,13.98,50.41,0,0,234.07,0,0,0,0,0,0,0,0,1.15,4.58,0,0,12.76,141.05,3.58,2.75,0,0,0,0,0,0,131.71,14.53,455.83,0,0,0,0
 48-58,0,0,1.35,0,4.33,0,0,37.05,41.03,0,0,378.9,0,0,1.57,3.52,0,0,0,0,6.9,19.3,0,0,17.61,146.12,6.35,2.74,0,0,1.42,0,0,0,77.14,0,589.28,0,0.88,0,0.54
 60-70,0,0,19.06,0,3.36,0,0,40.28,42.76,0,0,583.96,3.32,0,0.79,0,0,8.18,0,0,0,13.02,0,0.59,32.97,64.19,0,0,0,0,3.11,0,0,0,35.51,0,365.22,0,0,0,0
 72-82,0,0,20.79,0,0,0,0,47.97,44.65,0.75,0,746.55,9.3,0,1.72,0.73,0,1.37,1.04,0,0,8.12,0,0,23.05,105.04,0,0,0,0,2.85,0,0,0,18.02,0,176.9,0,0,1.44,0
 84-94,0,0,17.68,0,1.51,0,0,70.61,37.84,0,0,733.84,18.94,0,1.64,0,0,22.14,0,0,1.35,17.66,0,0,19.56,59.65,0,1.65,0,0,1.51,0,0,0,39.84,0,154.81,0,0,2.26,0
 96-106,0,0,26.51,0,0.69,8.22,0,44.84,52.31,0.63,2.33,558.51,9.98,0,0,1.39,0,2.84,0,2.09,0.68,12.19,0,0,12.54,79.25,0,3.73,1.85,0,2.5,0,0,0,38.06,0,159.77,0.77,1.56,0,0
108-118,0,0,15.78,0,1.25,0,2.55,21.79,47.73,0.48,0,444.52,10.42,0,4.37,1.03,0,10.44,0,0,0.43,11.04,1.14,2.23,28.42,41.25,0.45,0,0,0,1.5,0,0,1.86,21.51,0,59.41,0.5,0,0,0
120,0,0,13.76,0,0,0,4.06,13.91,77.77,0,0,276.26,23.12,0,3,1.18,0,0,0,0,1.45,0,0,0,11.63,24.49,1.57,0,0,0,0,0,1.12,0,9.37,0,181.75,0,0,9.56,0
