stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,44.59,1093.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.07,0,0,0,0,0,0,0,0,0,0
  5-6,0,662.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.53,0,0,0,6.24,7.18,0,0,0,0,0,0,0,0,0,0
  7-9,4.68,0,0,0,0,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.59,3.62,0,0,10.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.51,0,0,0,13.5,0,6.03,0,0,0,6.84,0,0,0,0,0
 14-21,0,0,1.09,2.01,0,0,0,0,0,0,0,0,0,0,0,0,8.82,0,0,0,4.82,0,0,0,0,0,0,1.87,0,0,9.1,3.66,0,0,0,0
 24-34,0,0,1.85,0,0,12.81,0,0,0,2.76,0,0,0,0,0,4.13,26.2,0,0,3.9,53.07,0,0,0,0,0,0,0,4.95,0,0.61,3.6,0,0,0,0.7
 36-46,0,0,0,0,0,11.44,3.01,0,0,0,1.15,0,0,0,0,2.25,22.65,0,0.67,2.74,103.69,0,0,0,0,1.71,0,0,0.87,0,0,1.42,0,0,0,0
 48-58,0,0,0.45,0,0,30.27,0,0,0,0,1.35,0,0,0.44,0,0.74,26.93,0,1.44,6.6,95.98,0,0,6.57,0,0,0,0,1.64,0,0,7.27,0,0.48,0,2.1
 60-70,0,0,0,0,0,52.81,0,0,0,4.08,2,0,0,0,0,1.05,64.32,0,0,5.76,133.14,0,0,1.05,0,0,0,0,1.71,0,0,0.87,0,0.68,0,0
 72-82,0,0,2.76,0,0,43.27,0,0,1.64,21.07,0.71,0,0,0,0,0.6,85.56,0,4.17,4.67,226.06,0,0,6.06,0,2.42,0,0,3.73,1.81,0,20.46,2.28,0,1.85,0
 84-94,0,0,4.06,2.7,0,56.62,0,0,0,39.3,0.68,0,0,0,3.72,1.4,82.94,0,3.33,4.63,230.34,0,0,4.53,0,1.44,1.4,0,9.68,0,0,0.64,0,0.78,2,0
 96-106,0,0,2.27,0,0,50.9,0.76,1.38,0,46.74,1.87,1.61,1.03,0,1.46,0.98,37.79,0,6.43,11.21,128.66,0.77,2.22,15.37,0,0,0,0,21.48,0,0,6.97,2.45,0,4.06,0
108-118,0,0,1.79,9.94,0,46.26,0,6.3,4.07,36.83,0.42,0,0,0,3.74,1.84,61.31,0.57,1.52,7.19,191.3,0,0,11.59,0,0,0,0,11.48,0,0,1.66,0,1.18,5.56,0
120,0,0,5.99,0,2.68,54.94,0,1,0,53.09,1.51,0,0,0,3.21,0,53.42,0,0,10.96,372.95,0,1.11,0,0,0,0,0,17.98,0,0,4.09,0,3.51,17.73,0
