stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,lateral_line,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,10.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0,0
  7-9,0,0,0,8.25,0,0,0,0,0,0,0,0,35.47,0,3.62,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.15,0,0,0,0,0,16.89,0,12.74,0,0,0,0,0
 14-21,0,2.09,1.21,0,0,0,0,0,0,0,0,0,11.64,0,0,0,0.88,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.59,5.08,0,0,0,0,0.73,2.05,4.71
 36-46,0,0,0,0,0,0,0,0,0,0,1.54,0,10.76,0,0,0,0,0,4.51,8.93
 48-58,0,0,0,1.6,0,0,0,0,0,0,0.88,0,4.55,0,0,0,0,0,1.22,5.62
 60-70,0,0,0,6.31,0,0,0,0,0,0,0,0,6.09,0,0,0,0,0,0,10.63
 72-82,0,0.53,3.65,2,0,0,0,0,0,0,0.99,0,13.47,1.43,0,0.54,0,0,3.29,10.74
 84-94,0,0,0,0.7,0,0,0,0.71,0,0,0,0,6.04,0,0,0,0,0,6.83,2.07
 96-106,0,0,0,1.77,1.64,0,0,2.32,0,0,0,0,10.37,0,0,5.71,0,0,0,6.43
108-118,0,1.17,0,0.51,0,0,0,1.69,0.76,0,1.18,0,10.54,0,0,2.03,0,0,0,12.19
120,0,0,0,0,0,2.42,0,4.78,0,9.76,1.93,0,9.34,10.09,0,6.91,0,0,8.17,4.04
