stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,melanocytes,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord
  5-6,54.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.31,0,0,0,0,0,0,0,0,0,4.49,0,3.32,0,0
 10-12,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.96,0,0,1.55,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.78,0,0,2.98,0,0,0,0.95
 48-58,0,0,0,0.39,0,0,0.52,0,5.22,0,0,4.67,0.88,0,0,0
 60-70,0,0,5.45,0,0,0,0,0,0,1.46,0,0,3.65,0,0,0
 72-82,0,0,0,0,0,0,0.54,0,5,0,0,2.4,10.66,0,0,0
 84-94,0,0,4.92,2.15,0,0,8.02,0,3.98,3.35,0,0,43.04,0,1.35,0
 96-106,0,0,34.52,0,0,0,0.66,0.91,12.8,0,2.09,0,56.15,0,4.56,0
108-118,0,0,32.53,0,0.54,0,1.06,0,28.25,0,0,2.83,67.3,0,0.86,0
120,0,0,8.62,0,0,2.1,0,0,22.88,0,0,0,54.83,0,2.43,0
