stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vasculature
  3-4,0,274.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.85,0,0,0
  5-6,7.22,373.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.75,0,0,0
  7-9,0,30.42,0,0,155.07,0,0,0,0,0,0,0,0,694.25,23.33,0,49.56,0,0,0,0,0
 10-12,0,0,0,0,9.85,0,0,0,0,0,0,0,0,65.35,13.1,0,6.01,0,0,0,0,0
 14-21,0,0,1.03,2.25,0,0,0,1.08,2.94,0,0,0,0,5.14,7.6,0,0,0,29.3,1.19,0,0
 24-34,0,0,0,3.58,0,0,0,0,0,0,3.47,0,0,1.22,0,0,0,0,0.6,9.1,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.98,0,0,3.45,0.62,1.69,0,0,1.28,1.67,0,0
 48-58,0,0,0,0,0,0,1.63,0.49,0,0,1.79,0,0,29.09,0.45,0,0,0,2.46,4.22,0,0
 60-70,0,0,0,0,6.33,2.09,0.99,0,0,0,0,0,0,16.52,0,0,0,2.16,5.07,3.1,0,0
 72-82,0,0,0,0,1.59,0,0.61,1.39,0,0,2.52,0,0,17.8,0,0,0,0,0,2.09,0,0
 84-94,0,0,0,0.62,0,0,5.53,1.02,0,1.61,2.56,0,0,4.6,0,0,0,0,5.49,0,1.67,1.59
 96-106,0,0,0,0.75,1.35,0,1.1,0.78,0,0,0,0,0.67,18.74,0,0,0,0,3.36,0,0,0
108-118,0,0,0,1.19,1.46,0,14.04,1.23,0,0,0,2.42,0,8.33,0,0,0,0,3.76,0,0.48,0
120,0,0,0,0,0,0,0,0,0,1.76,4.65,0,0,46.19,0,0,0,0,1.35,0,0,0
