stage,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  5-6,10.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
 14-21,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,2.36,0,0,0,3.27,0.89,0,0,0
 24-34,0,0.75,2.6,0,0,0,0,2.46,0,0,0,0,22.97,0,0,6.21,0,0,0,4.05,0,0,1.13,0
 36-46,0,0,0,0,0,0,0,4.63,0,0,0,0,30.04,0,0,2.42,5.91,0.84,0,3.97,0,0,0,0
 48-58,0,0.42,0,0,0,1.14,0,1.57,1.57,0,0,0,15.76,0,0,4.49,0,0,0.41,2.39,0,0,0,0
 60-70,0,2.68,0,0,0,0,0,4.08,12.11,0,0,0,38.12,7.01,0,0.85,0,0,0,7.18,0.57,0,0,0
 72-82,0,2.35,0.56,0,0,6.06,0.77,1.75,0.53,0,0,0,48.54,0,0,9.45,0.55,0,2.33,5.18,0,0,0.5,0
 84-94,0,2.74,5.48,0,0,7.84,0,9.34,11.07,0.92,0,0,214.19,1.97,0,7.09,0,0,0.61,10.54,0,0,0,0
 96-106,0,4.29,0.66,0.6,0,11.33,0,0,8.72,0,1.18,0,324.97,13.63,0,24.66,0,1.03,2.86,0.61,5.48,1.01,3.24,1.28
108-118,0,2.27,6.77,2.05,0.65,19.8,0.73,0.86,2.81,0.79,0,0,492.19,9.47,0.57,26.51,0,0,2.75,5.26,0,1.87,1.79,0
120,0,1.73,0,0,0,0,0,14.47,1.38,0,0,3.19,352.14,11.05,0,73.5,1.45,0,0,13.49,0,0,0,0
