stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  5-6,48.22,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0
  7-9,0,5.41,0,0,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,45.87,0,0,0,5.89,0,0,0,0,0,0,0
 10-12,0,0,0,9.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.97,11.54,0,0,9.5,0,0,0,0,0,0,0
 14-21,0,0,2.27,0,0,0,0.83,0,0,0,0,0,0,0,2.68,0,0,0,2.94,0,0,0,0,0,1.04,0,0.84,2.32,0,0
 24-34,0,0,0,2.24,0,0,0,0,0,0,0,0.66,0,0,0.66,0,0,0,8.17,0,0,0,0,0,1.92,0.6,1.27,4.81,0,0
 36-46,0,0,1.4,0.83,0,0,0,0,0,0,0,0,0,0,1.61,0,0.74,0,17.68,0,0,0,0,0,6.77,0,0,2.97,2.47,0
 48-58,0,0,0.42,2.5,0,2.06,0,0,0,1.55,0,0,0,1.2,1.17,0,0,0,10.07,0,0.48,0,0,0,0,0,0,1.98,0,0
 60-70,0,0,0,10.15,2.33,0.74,0,0,0,0,0,0,0,0,5.16,0,0,0,9.56,0,0,0,0,0,1.1,0,0,3.96,0,0
 72-82,0,0,0,5.22,0,1.32,0,0,0.65,1.03,0,0,0,0,2.28,0,0,0,13.21,0,2.08,0,0,0,4.37,0,0,4.5,1.22,0
 84-94,0,0,0,4.3,0,0,0.99,0,5.94,0.6,0,0,0,0,5.3,0,0,0,1.99,0,0,0.55,0,0,10.79,0,0,0,2.15,0
 96-106,0,0,2.59,0.85,0,18.63,0,0,6.5,0,0,0,0,0,3.98,4.86,0,0.81,5.54,0,0,0,0,0,13.43,0,0,0,5.2,0
108-118,0,0,4.19,11.08,0,7.31,0,0,6.53,0,2.01,0,3.51,0,8.54,0,1.62,0,6.73,0,5.5,0,0,1.49,7.62,0,0,0.48,2.93,2.11
120,0,0,3.27,3.72,2.14,12.72,0,0,11.33,0,0,0,0,0,0,0,2.21,0,26.43,0,1.91,0,0,0,15.95,0,0,0,0,0
