stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,80.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.29,0,0,0,0,0,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86,0,0,6.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.75,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0,12.5,8.4,0,0,10.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,14.05,1.11,6.94,0,0,0,0,0,0,0,0,0,0,0,5.11,3.45,0,0,4.54,33.54,0,0,2.31,0,0,1.66,0,2.81,0,1.06,13.21,0,0,0,0,107.23
 24-34,0,0,0,0,6.93,0,5.03,0,0,0.7,0,0,0,0,0.68,1.49,2.1,0,3.18,7.99,0,0.91,0.61,110.28,0,6.56,0,0,0,5.64,0,0,1.6,0.76,21.02,0,0,0.63,0,328.13
 36-46,0,0,0,0,3.39,0,7.46,3.08,0,0,0,0,10.82,0,0,6.17,0.72,0,11.01,7.88,1.19,0,0.73,143.01,0,12.64,0.57,0,0,0,0,0,1.49,0,21.79,0,0,1.01,0,272.94
 48-58,0,0,0,0,1.34,0,33.02,7.32,0,2.56,0,1.5,0,0,0.41,3.15,0.66,2.56,2.83,7.39,0,0,0.39,199.2,0,7.71,3.27,0,0,0,0,0,0.8,0,27.09,0,0,10.79,0,153.14
 60-70,0,0,0,0,13.38,0,67.86,12.94,0,3.53,0,0,0,0,0,12.89,0.92,0,0,14.54,0,2.22,0,234.66,0,6.43,0,0,0,0,0,0,2.92,0,34.72,4.34,0.94,0,0.64,203.83
 72-82,0,0,0,0,7.36,0,117.52,1.28,5.19,27.77,19.79,0,0,0,0,7.17,7.54,0,1.18,26.85,6.86,0,4.84,252.37,0,9.65,8.91,0,0.89,4.19,0,0,0,0,24.85,0.69,0.9,0.89,0.52,91.54
 84-94,0,0,5.3,0,13.8,0.92,70.5,5.13,0,28.01,10.45,0.66,0,7.2,0,20.16,6.89,0,3.07,26.85,0,0.76,1.3,156.71,0,19.98,2.16,0,0,0.6,1.4,0,0,0,14.97,3.66,0,5.46,0,50.15
 96-106,0,0,0,0,55.99,10.21,54.57,7.8,4.71,19.27,29.72,0,3.74,3.98,0.96,9.16,6.91,1.36,0,40.36,1.17,1.41,5,134.01,0.62,34.48,1.92,0,0.83,2.62,0.76,0,0,0,10.3,5.72,0,2.94,0,36.9
108-118,0,0,1.65,0,37.67,1.85,83.97,7.4,0.65,17.42,37.99,0,1.34,0,4.57,6.78,1.23,1.25,0,33.93,1.62,1.23,2.71,156.65,0,27.85,3.32,0,0,2.43,0,0,1.01,0,8.36,8.76,1.99,2.95,0,52.15
120,0,0,0,0,25.97,0,28.71,6.82,0,19.64,31.37,0,0,10.59,0,3.31,9.37,5.66,0,52.89,0,11.56,5.6,138.05,0,38.77,3.65,0,7.89,2.19,0,0,0,0,0,0,2.09,2.39,0,35.1
