stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,ionocyte,mesenchyme,muscle,neural,otic,spinal_cord
  5-6,9.36,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.7,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,3.87
 36-46,0,0,0,5.48,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.02,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,10.06,0,0,0,0,0,0,0.6,0,0
 72-82,0,0,0,89.57,0,0,0,0,0.6,0,0.6,0.66,1.64
 84-94,0,0,0,107.5,0,0,0,0,0.93,0,0.75,0,0
 96-106,0,0.89,0,214.31,0.86,0,0,0,3.13,0,4.93,0,3.16
108-118,0,0.56,1.18,216.9,0,3.36,0,0,2.09,0,19.55,0,0
120,0,0,0,617.18,0,0,15.24,1.48,0,2.36,17.21,0,8.38
