stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.12,33.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.11,45.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.44,0,0,0,0,0,0,0,0,0,4.53,0,0,0,0,0,0,0,0,0,0,10.49,4.99,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.91,2.28,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,1.28,0,3.57,75.28,0,2.57,0,0,0,0,0,1.33,1.87,27.05,0,0,1.64,0,0
 24-34,0,0,0.97,0,2.49,0,0,13.54,0,0.71,0,0.66,0,0,10.38,0,0,0,0.68,2.05,0,14.15,0,2.01,546.85,0,31.61,0.61,0,2.08,0,0,1.89,0,178.14,0,0,12.63,0,0
 36-46,0,0,0,0,4.72,0,0,61.98,0,0,0,6.38,0,0,1.84,0,0,0,0,0,2.7,18.19,1.72,0,1178.55,0,56.92,9.6,0,1.18,0,0,0,0,275.91,0,0,3.8,0,6.22
 48-58,0,0,0,0,4.01,0.68,0,344.09,1.32,5.23,0,15.64,0,0,0.66,0,0,4.61,0,0,0.41,19.11,0,2.22,1527.9,5.11,43.75,0,0,6.54,0,0,0,0,325.52,0,0,3.26,0,9.15
 60-70,0,0,0,0,7.27,0,0,1512.08,1.28,0,0,29.01,0,0,0,7.73,0,0,1.55,0,0,22.92,4.36,0.66,1684.46,0,52.49,0.63,0,0.58,0,0,0,0,326.25,0,1.9,10.81,0,1.56
 72-82,0,0,0.93,0,9.41,1.87,0,2687.19,0,8.88,6.5,43.23,0.64,0,1.12,6,0,0.78,0,1.4,3.31,62.16,1.48,2.55,1688.14,0,62.97,2.67,0,1.9,0,0,0,0,191.66,0,5.62,12.52,3.62,44.9
 84-94,0,0,0,0,9.3,6.74,0,2052.15,0,0,0.93,50.27,0.86,0,0,6.73,2.4,2.45,0,0,1.11,27.79,4.18,8.63,1194.04,0,51.21,4.45,0,6.35,0,0,0,0,118.21,1.54,2.57,10.79,0,2.61
 96-106,0,0,0,0,19.96,5.94,0,2904.68,1.02,6.05,0,49.51,2.6,0,0,0.77,0,1.48,3.36,11.04,0,69.23,5.54,1.42,1018.12,0,88.2,5.16,5.56,4.94,0,0,0,0,49.29,3.73,5.41,8.06,2.61,10.33
108-118,0,0,0,0,25.66,2.77,2.73,2204.43,0,7.9,0,58.09,1.01,0,1.22,6.28,0,8.64,3.26,5.05,3.6,62.71,0,5.83,1466.26,0,63.29,7.01,2.1,9.07,0,2.63,0,0,39.11,2.88,3.72,7.55,3.98,9.27
120,0,0,0,0,18.66,2.65,0,1520.48,0,0,5.01,53.94,0,0,2,0,1.65,0,5.03,0,0,62.07,1.26,1.49,1363.75,0,78.34,13.55,11.51,4,0,3.46,1.63,0,15.97,0,15.53,10.38,2.64,0
