stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,mesenchyme,neural,paraxial_mesoderm,presomitic_mesoderm,spinal_cord
  3-4,32.46,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,11.63,5.16,0,0
 14-21,0,0,0,0,0,0,0,0.97,2.93,0,0.81,0
 24-34,0,0.91,0,0,0,0,0,0,5.03,0,0,0.6
 36-46,0,0,0,0,3.14,0,0,0,3,0,0,0
 48-58,0,0,0,0,13.21,0,1,0,1.88,0,0,0
 60-70,0,0,0,0,3.15,0,0,0,4.12,0,0,0
 72-82,0,0,0,0,3.6,0,0,0.94,6.63,0,0,0
 84-94,0,0,1.19,1.09,14.04,0,0,0,0,0,0,0
 96-106,0,2.21,0,0,11.32,0.57,0,0,6.14,0,0,0
108-118,0,0,0,0,2.71,0.53,0,0,0,0,0,0
120,0,3.37,1.41,0,3.16,0,0,4.8,6.36,0,0,0
