stage,blastomeres,epidermis,eye,fast_muscle,fin_mesenchyme,glial,heart,ionocyte,mesenchyme,mural_cell,neural,paraxial_mesoderm,somites,spinal_cord,vasculature
  3-4,11.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.84,6.99,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,16.91,6.47,0,0,0
 14-21,0,2.95,0.96,0,0,0,0,0,0,0,0.97,0,10.02,0,0
 24-34,0,0,0,0,0,0,0,0,0.65,0,1.77,0,0,0.92,0
 36-46,0,0,5.54,0,0,0,0,0,0,0,3.75,0,0,0,0
 48-58,0,0,0.93,0.38,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,10.82,0
 72-82,0,0,0,0,0.84,2.09,0,0,3.77,0,0,0,0,0,0.66
 84-94,0,0,0,0,0,0,0.97,0,1.95,0,1.01,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06
108-118,0,0,0,0,0,2.38,0,1.11,0.9,2.75,0,0,0,0,6.63
120,0,2.64,0,0,0,0,0,0,0,0,1.84,0,0,0,0
