stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,23.8,537.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.27,79.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.08,0,0,0,0,5.18,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,10.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.61,0,0,11.61,0,11.92,0,0,0,0,0
 14-21,0,0,2.15,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.93,0,0,0,0,0,1.99,2.02,0,0,0,0,2.78,0,0,0,0
 24-34,0,0,0.84,4.59,0.65,0,0,4.27,0,0,0,0,4.2,0,0,0,0,0,27.12,9.31,0.89,0,0,0,5.21,0,0.96,0,0,0,2.13,0,1.55,0,9.41
 36-46,0,0,0,0.63,0,0,0,2.14,0,0,0,0,0.82,0,0,0,0,14.33,9.11,6.78,0.59,2.24,0,0,4.57,0,0,0,0,0,0,0,0,0,1.84
 48-58,0,0,0,0,0,0.73,0,7.76,0.44,0,1.16,0,7.41,10.95,0,0,0,0,4.99,17.52,1.87,1.24,0,0.51,9.75,0,0,0,0,0,2.87,0,0.61,0,19.09
 60-70,0,0,2.33,0,0,0,0,6.85,0,0,0,1.95,5.51,5.49,0,2.78,1.16,2.89,5.61,14.32,3.11,2.72,0,0,4.53,0,0,0,0,0,0,0,0,0,10.19
 72-82,0,0,4.66,0,2.55,0,0,12.36,0,0,0,1.19,12.61,0,0.75,0,6.84,0,1.19,5.72,3.1,2.38,0,0,7.23,0,6.14,0,0,0,2.41,0.94,0,0,11.79
 84-94,0,0,2.3,0,2.79,0,2.48,28.87,0,0,0,1.89,20.27,0.6,0,0.64,0,0,4.26,30.38,0,15.29,0,0,10,0,0,0,0,0,1.5,0.71,0.8,0,21.42
 96-106,0,0,6.45,0,0.87,4.93,7.25,34.66,0,0.66,0,5.14,21.41,0,0,0.58,0,0,3.16,26.8,8.05,17.41,0,0,18.9,0.58,1.2,0,0,0,0,0,0,0,30.45
108-118,0,0,2.65,0,0.5,0,75.65,52.49,0,0,0,4.44,20.99,0,0,0.5,0.65,2.04,8.09,35.93,4.76,18.49,1.45,1.48,11.31,0.5,3.27,0,0,0,0,0,0,3.68,19.13
120,0,0,6.51,0,1.96,0,7.13,10.61,0,0,0,0,15.11,0,0,2.31,0,0,3.4,13.36,28.38,2.74,4.22,2.53,30.71,4.95,4.64,0,1.66,0,0,0,2.96,0,23.76
