stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  5-6,0,11.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.48,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,28.31,0,0,0,28.36,0,0,0,0,0,0
 10-12,0,0,0,10.29,11.34,0,0,0,0,0,0,0,0,0,0,23.88,0,0,0,25.54,0,0,0,0,0,0
 14-21,0,0,1.74,0.91,0,0,0,0,0,0,0,0,0,0,0.82,10.25,0.88,0,0,0,0,1.21,0,0,0,0
 24-34,0,0,0,0,0.66,0,0,0,0,1.01,0,0,0,0,0,19.73,0.92,0,0,0,0,0,1.11,0,6.5,0
 36-46,0,0,1.39,0,1.5,0,1.42,1.58,0,0,0,1.63,0,0,0.65,10.29,0,0,0,0,0,0,13.37,0,0,0
 48-58,0,0,0,0,10.06,0,0.49,0,0.53,0.47,0,5.44,0,0,1.2,41.12,0,0,0,0,0,0,9.25,0,0,0
 60-70,0,0,0,0,11.22,0.98,1.79,0,0,0.66,0,5.4,0,0,0,35.44,12.58,0,5.18,0,0,0,0,0,0,1.13
 72-82,0,0,0.55,0,4.63,0,0.53,0,0,0,0,4.55,1.11,0.57,0.68,25.03,0.73,0,0,0,0,0,4.9,0,0,0
 84-94,0,0,1.59,0,3.02,0,1.85,0,0,2.02,0,0.88,0,0,0,18.63,1.52,0,0,0,0,0,0,2,0.74,0
 96-106,0,0,0,0,11.92,0,7.01,0,2.33,0.6,1.38,7.26,0,0,0,15.5,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,3.32,0,2.42,0,0,0,0,4.62,0,0,0,23.11,0,0.7,6.7,0,1.14,0,0.48,0,0,0
120,0,0,1.13,0,0,0,7.3,1.02,0,0,0,0,0,0,0,21.33,1.32,0,0,0,0,0,0,0,0,0
