stage,epidermis,fin_epithelia,neural,olfactory,periderm
 48-58,0,0,0,1,0
 60-70,0,0,0,12.81,0
 72-82,0,2.07,1.11,103.04,0
 84-94,0,0,0,8.65,0
 96-106,0.56,0,0,33.73,0.77
108-118,0,0,0,16.88,0
120,0,0,0,14.18,0
