stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,180.49,3545.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.22,0,0,0,0,0,0,0,0,0
  5-6,189.17,2770.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.77,7.94,0,0,0,99.8,0,0,0,0,0,0,0,0,0
  7-9,6.79,6.33,0,3.47,0,0,0,20.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392.01,20.59,0,0,103.07,77.71,14.72,0,0,0,0,0,0,0,0
 10-12,0,29.83,0,3.2,0,0,0,34.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515.27,11.6,0,0,71.45,84.16,0,0,19.52,0,0,0,0,0,0
 14-21,0,0,0,0.96,27.59,10.3,0,2.9,0,0,0,0,15.54,0.86,0,0,0,0,0,0,0,0,39.95,1.23,0,3.01,0,32.48,0,0.92,3.96,0.84,16.57,0,0,0,0
 24-34,0,0,0,2.39,2.49,4,0,5.4,0,0,4.72,2.24,57.75,6.59,0,0.68,0,6.15,1.43,0,0,1.78,20.77,0,5.66,0.79,0,10.1,0,0,31.24,0,5.86,0,3.57,0,0
 36-46,0,0,0,0.63,9.46,0,0,3.86,0,0,1.77,0,59.56,0.66,0,0,0.59,0,0,0,0,0,53.37,0,0.73,0.82,0,11.26,0.68,0,20.53,0,0,0,1.24,0,0
 48-58,0,0,0,0,7.03,3.75,0,9.25,0,5.37,2.44,0.42,58.85,9.04,0,0.46,1.04,2.81,0.4,0,0,0,42.05,0,4.34,1.35,0,4.04,0,0,8.9,0,2.67,0,1.55,0,0
 60-70,0,0,0,0,4.37,0,0,3.63,9.47,5.49,3.75,0,78.19,0,0,0,2.88,10.42,4.2,3.18,0,0.67,41.37,0,3.21,2.2,0,6.82,0,0,5.18,0,4.63,0,1.52,0,0
 72-82,0,0,0.61,0.56,27.42,9.15,0,11.64,0,5.28,19.25,0,83.26,2.2,3.11,0,6.21,10.07,8.08,4.65,0,0,46.52,0,2.1,8.17,0,10.55,0,0,4.83,0,3.07,2.17,3.76,0.85,0
 84-94,0,0,1.72,0,18.66,7.53,0,8.66,4.56,2.73,23.23,0,101.47,3.81,0,2.47,9.81,26.16,16.65,9.88,0,0,61.72,0,5.64,6.57,0,39.16,0,0,17.29,0,12.07,4.15,11.13,0,5.35
 96-106,0,0,5.4,1.73,56.86,8.88,0,2.99,1.81,3.94,27.61,0,133.67,6.98,0.99,0.59,11.3,4.32,6.84,20.18,0,0,61.45,0,8.61,5.31,0,27.34,0,0,12.38,0,0,1.31,6.92,0,0
108-118,0,0,1.77,2.81,65.52,10.13,0.44,18.62,2.93,4.55,54.62,0,139.86,4.85,0,1.8,9.06,13.14,13.77,11.82,0,0.61,35.68,0,2.41,7.85,0,31.18,0,0,17.9,0,3.42,4.32,15.86,0,0.92
120,0,0,0,0,165.95,17.27,0,42.83,1.05,19.13,40.76,0,167.42,6.9,0,0,2.63,11.97,13.44,0,2.75,0,38.32,0,0,7.59,0,53.18,0,0,9.87,0,0,1.84,3.24,0,0
