stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,20.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,6.72,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3.31,34.8,9.76,0,0,0,0
 24-34,0,0,0,0.69,6.44,0.68,0,0.67,0,0,0,0,0,0.66,0.82,5.18,8.25,0,0,0,14.08,0.61,1.81,0.96,0,0
 36-46,0,0,0,0,36.36,2.93,0,1.01,0,0,0,0,0,0,0,0,7.03,0,0,0,3.39,0,0.76,0,0,0
 48-58,0,0,1.44,0,55.02,3.94,0,1.07,0,0,0.44,0,0,0,0.72,0.38,11.72,0,0,0,1.88,0,8.38,0,0,0
 60-70,0,0,0,0,487.89,0,0,0.79,0,0,11.22,0,0,0,0,0,11.7,0,0,0,0,0,0.64,0,0,1.96
 72-82,0,0.5,0.52,6.98,879.57,2.05,0,7.53,0.56,0.5,0,1.13,0,0,4.88,0,37.93,1.18,0,1.72,0.55,0,0.89,2.31,0.92,4.07
 84-94,0,0,0.69,0,793.14,0,0,3.23,0,0,0,0,0,0,0,0.93,32.7,0,0,0.93,0,0,0,0,0,1.05
 96-106,0,0,1.11,0,1168.19,0,0,7.89,0,0.81,0.95,0,0.62,6.49,2.16,0,23.15,0,0,2.05,0.57,0,0,0,0,0
108-118,0,0,0,0,1126.23,0.98,1.37,2.05,1.13,0,0,0,0,1.57,3.45,2.74,39.45,0,0,0,2.22,0,0,0,0,2.09
120,0,0,2.22,0,787.95,1.01,0,0,1.26,0,7.56,0,1.11,0,5.54,3.34,40.19,0,0,0,7.71,0,0,0,0,0
