stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vasculature
  3-4,0,104.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.36,187.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.13,6.81,0,0,0,0,0,0
  7-9,12.07,0,7.66,0,40.37,0,0,0,0,0,13.56,0,0,0,0,0,0,0,0,116.22,4.26,0,0,46.32,0,0,0,0,0,0,0
 10-12,0,14,19.33,0,11.07,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,130.85,14.07,0,0,28.6,0,14.56,0,0,4.47,0,0
 14-21,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,0,0,0,1.48,0,0
 24-34,0,0,0,3.15,0.87,0,0,0,0,0,0,0.92,0,0,0,0,0,4.64,0,21.38,0,0,0,0,13.78,0,0,0.67,0,0,2.54
 36-46,0,0,0,3.74,1.85,2.44,4.33,0,0.59,0,0,0,0,0.93,0,1.62,0,5.16,0,32.64,0,0,0,0,20.67,0,0,0,9.08,0,0
 48-58,0,0,0,0,8.05,3.01,0,0,0.54,0,0,0,0,0,0,0,0,0,10.85,27.91,0,0,3.7,0,11.15,0,0.74,0.46,0,0,0
 60-70,0,0,0,5.14,7.28,0,0.86,0,1.47,0,0,7.24,0,0,10.47,1.92,6.77,16.97,1.35,28.9,0,0,0,0,9.09,0,0,0,0,1.72,0
 72-82,0,0,0,2.2,9.4,0,0,1.98,0.56,0,0,0,4.06,0,0,0,0,0,0,7.27,0,2.22,0,0,0,0,0,0,0,0,1.26
 84-94,0,0,0,0,1.72,0,0,0,0,0.92,0,0,0,0.74,0,2.36,0,0,0,3.95,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.45,0,0,0,2.62,0.47,0,0,0,0,0,0,0,0,0,3.86,0,0,0,0,0.94,0,0,0.53,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,4.22,4.22,0,0,0,0,0,8.85,0,4.59,0,0,2.87,0,2.39,0,0,0,0
