stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,9.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.78,0,7.79,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.01,0,0,0,0,4.49,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7.13,0,0,0,0,0,609.41,0,167.98,17.77,30.63,0,31.87,0,23.72,0,1.63,0.85,0,0,0,0
 24-34,0,0,0,1.74,0,0,0,0,324.14,0,28.51,37.36,12.53,0,0,0,0,0,0,1.03,0,0,0,0
 36-46,0,0,2.69,0,0,0,0,0,249.75,0,7.15,0,13.66,6.6,82.06,0,0,3.2,0,1.54,0,0,0,0
 48-58,0,0,0,0,0,1.26,0,0,153.88,0,4.25,0,15.49,0,0,0.5,0,0.87,0,1.77,0,2.59,0,0
 60-70,0,0,0,0,7.59,0,0,0,166.87,0,2.23,0,11.36,0,0,0,0,0.7,0,0,0,0,0.73,0
 72-82,0,0,0.84,0,4.32,0,0,0,51.08,0,1.41,0,6.55,0,0,2.71,0,0,0,0,2.31,0,0,0
 84-94,0,0,0,0,0,1.58,0,0,123.12,0,0.97,0,0,0,0,3.12,0,0.73,0,0,0,17.27,0,2.36
 96-106,0,0,1.81,7.62,12.17,8.82,1.01,0,204.88,13.03,0.61,0,6.86,0,0,4.2,0,0,0,0,0,0,0,0
108-118,0,0.54,0.61,1.37,4.07,0,0,0,181.85,0,2.63,0,6.97,0,0,1.92,0,0,0,2.97,0,0,0,0
120,0,0,11.81,0,3.38,0,0,0,55.53,0,0,0,29.46,0,0,0,0,0,0,0,0,0,0,0
