stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,10.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.41,0,0,0,0,0,0,0,7.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,7.37,0,0,0,0,0,0,0,0,0,0,0,40.11,19.56,0,0,5.28,0,0,0,0,0,0,0
 14-21,0,0,0,28.28,4,0,0,0,0,15.98,0,0,0,0,0,0,0,0,19.33,0,0,0,1.9,0,0,0.88,2.38,0,0,0
 24-34,0,0,0,10.16,0,0,9.64,0,0,0.74,0,0,0,0,0,4.1,0,0,83.93,1.19,2.96,0,0,0,0,11.85,34.49,0,0,0
 36-46,0,0,1.4,0,0,0,5.75,0,0,0,0,0,0,0,0,0,0,0,169.3,1.15,0.81,1.66,0,0,4.45,3.56,71.42,0,0,0
 48-58,0,0,0,4.11,0,0,54.11,0,4.47,0,0,0,0,0,1.78,5.56,0,0,608.88,0,0,0,0,0,0,0,81.68,0.61,0,5.71
 60-70,0,0,0,7.02,0,0,131.81,1.08,6.18,0,0,0,0,0,0,11.58,0,0,1013.04,0,2.5,1.23,0,0,0,0,91.85,2.92,0,3.07
 72-82,0,0,0.69,0.98,0,0,426.79,0,7.94,0,0,0,0,0,0,15.55,0.55,0,1232.32,0,2.09,1.23,0,0,0,0.84,65.52,1.05,0,0
 84-94,0,0,2.82,6.46,0,0,280.63,0,9.93,0,0,2.41,2.02,0,1.64,5.21,0,0,646.39,0,0,0.56,0,0,0,0,53.15,0,0,0
 96-106,0,0,2.19,8.94,0,3.72,384.47,0,27.13,0,0,0,0,4.51,0,17.78,0,0,611.47,0,0.77,0,0,3.88,0,1.79,16.09,0,0,7.56
108-118,0,0,1.15,7.61,0.46,0,280.95,0,25.52,0.86,0,0,0,0,0,19.6,0,1.14,786.47,0,1.07,1.15,0,0,0,0,11.02,0,0,0
120,2.82,0,0,9.26,0,0,385.62,0,33.55,0,0,0,0,2.07,0,20.3,0,2.28,1667.77,2.33,0,1.86,0,0,0,0,36.03,4.29,10.35,0
