stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,30.24,1070.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.99,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.55,168.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.16,0,0,0,0,33.19,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.15,0,0,0,27.78,17.25,28.67,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.98,0,0,0,0,0,18.3,0,0,0,0,0,0,0,0,0,0,0,180.04,14.99,0,0,39.5,10.55,0,0,3.81,0,17.03,0,0,0,0,0,0
 14-21,0,0,1.05,5.71,1.63,0,2.07,0,1.7,0,0,0,2.41,0,0,3.32,0,0,0,0,3.2,0,0,1.92,34.81,3.87,4.29,0.9,1.28,38.25,0,11,2,3.45,10.17,18.02,0,0,0,0,0
 24-34,0,0,1.26,8.74,0.69,0,12.12,0,0.75,0,1.63,0,0,0,0,12.41,1.64,0.78,0,0.62,5.05,0,0,1.32,166.61,0,23.1,0.65,0,78.74,0,0,6.62,1.83,1.32,42.18,0,0,3.28,0,1.49
 36-46,0,0,0,0.61,0,0,39.62,0,1.75,0,3.65,0.66,0.59,0,0,16.8,0,1.17,0,3.23,8.56,1.93,0,1.58,256.65,0.66,29.92,0,0,83.9,0,0,0,0,0,55.57,0,0,6,0,0
 48-58,0,0,0.97,11.46,0,0,107.33,7.61,0,1.06,26.41,0.92,1.02,1.42,3.38,0.89,0.38,0,12.08,0.48,14,0.46,1.26,0.4,300.03,0,29.43,0.44,0,30.75,0,0,0,0,0,60.87,0,0,2.62,0,1.92
 60-70,0,0,10.41,2.83,0,0,258.4,0,3.7,0,9.17,2.15,2.2,0.77,0,10.19,0,0.7,4.86,4.52,18.49,1.05,1.2,0,254.13,0,15.97,0,0,48.67,0,0,1.95,1.39,0,66.66,0,0,2.78,0,4.14
 72-82,0,0,8.72,8.79,9.52,2.56,232.87,0,0,0.75,20.47,9.46,0,0,2.43,10.95,0,2.41,3.19,0,26.04,0,3.5,1.42,263.21,0.66,35.42,2,0,40,0,0,0.58,0,0,40.16,3.68,2.19,7.47,0,5.98
 84-94,0,0,6.84,18.2,5.14,0,155.21,0,1.75,0,27.61,15.97,0,1.46,16.34,18.49,0.7,0.81,9,3.08,31.85,2.18,2.59,0,157.47,4.25,25.9,1.18,0,94.87,0,0,2.58,0,0,34.24,3.53,0,11.39,1.1,1.56
 96-106,0,0,7.32,15.48,13.45,2.43,206.43,0,2.89,6.94,41.42,13.27,0,1.33,3.49,14.13,0.76,2.59,11.99,0,58.01,7.65,3.12,1.24,142.64,0,46.52,1.99,0,126.39,0,0,1.24,0,0,22.7,2.41,3.5,2.78,0.81,0
108-118,0,0,0.6,30.04,5.13,9,140.41,0.5,4.57,3.21,24.81,16.68,2.74,0,4.58,17.41,3.24,0.56,3.43,2.44,24.53,3.38,1,2.32,238.35,0,21.49,2.78,0,97.76,0,0,1.46,0,0,20.56,1.29,0,6.87,2.77,3.22
120,0,0,0,35.19,5.28,1.71,184.33,3.87,2.3,0,23.54,18.35,0,0,11.82,13.14,0,2.19,11.5,0,103.73,7.59,6.75,3.59,420.52,1.29,18.86,0,0,101.39,0,0,7.44,1.99,0,6.92,1.19,0,44.86,2.64,2.85
